Case ID,Organization Name,Country,No. ofMachines,Last Event,Case Status,Products
4553647#1,Entrecuines,Mexico,4,27-May-26,Unqualified,"SketchUp 2025, SketchUp 2026, SketchUp Pro 2022"
4603868#1,Wistarip,Mexico,3,27-May-26,Below Threshold,"SketchUp Pro 2019, SketchUp Pro 2020, SketchUp Pro 2022"
2356325#2,Grupo Fortezza,Mexico,16,27-May-26,Unqualified,"SketchUp 2024, SketchUp 2025, SketchUp 2026, SketchUp Pro 2017, SketchUp Pro 2019, SketchUp Pro 2020, SketchUp Pro 2021, SketchUp Pro 2022"
4573382#1,Cbtis21,Mexico,6,27-May-26,Aborted (Closed),"SketchUp 2025, SketchUp Pro 2021, SketchUp Pro 2023"
4602743#1,Marshallinteriors,Mexico,4,27-May-26,Unqualified,"SketchUp 2025, SketchUp 2026, SketchUp Pro 2021"
4588384#1,Inoxestrutura,Mexico,6,27-May-26,Unqualified,"SketchUp 2025, SketchUp Pro 2017, SketchUp Pro 2019, SketchUp Pro 2021, SketchUp Pro 2022, SketchUp Pro 2023"
4589085#1,Omeinteriors,Mexico,3,27-May-26,Unqualified,SketchUp 2025
4579217#1,Sunspreejam,Mexico,3,27-May-26,Unqualified,"SketchUp 2025, SketchUp Pro 2018, SketchUp Pro 2021"
4576242#1,Echegarayarquitectos,Mexico,3,27-May-26,Below Threshold,SketchUp 2024
4528943#1,Construccionescct,Mexico,3,26-May-26,Below Threshold,SketchUp 2025
962759#1,Bicu,Nicaragua,13,23-Apr-26,Aborted (Closed),"SketchUp Pro 2016, SketchUp Pro 2017, SketchUp Pro 2018, SketchUp Pro 2019, SketchUp Pro 2020, SketchUp Pro 2022"
2418649#1,Tecno Lite,Nicaragua,4,20-Apr-26,Below Threshold,"SketchUp Pro 2019, SketchUp Pro 2023"
1872254#1,ADEN International Business School,Nicaragua,9,19-Apr-26,Aborted (Closed),"SketchUp 2024, SketchUp 2025, SketchUp Make 2017, SketchUp Pro 2017, SketchUp Pro 2018, SketchUp Pro 2019, SketchUp Pro 2022"
534433#1,Discover,Nicaragua,3,17-Apr-26,Aborted (Closed),"SketchUp 2025, SketchUp Pro 2017, SketchUp Pro 2018, SketchUp Pro 2019"
2275739#1,Pddh,Nicaragua,4,16-Apr-26,Below Threshold,"SketchUp 2026, SketchUp Pro 2017, SketchUp Pro 2019, SketchUp Pro 2020, SketchUp Pro 2021"
1084322#3,Centro CAD Nicaragua,Nicaragua,4,21-Mar-26,Aborted (Closed),"SketchUp Pro 2017, SketchUp Pro 2018, SketchUp Pro 2019, SketchUp Pro 2020, SketchUp Pro 2021, SketchUp Pro 2022, SketchUp Pro 2023"
2027136#2,Assumption College,Nicaragua,8,21-Mar-26,Aborted (Closed),"SketchUp Pro 2017, SketchUp Pro 2018, SketchUp Pro 2019, SketchUp Pro 2020, SketchUp Pro 2021, SketchUp Pro 2022"
956089#1,Univalle,Nicaragua,10,12-Mar-26,Aborted (Closed),"SketchUp Pro 2017, SketchUp Pro 2018, SketchUp Pro 2019, SketchUp Pro 2020, SketchUp Pro 2022, SketchUp Pro 2023"
3858152#1,Cafesoluble,Nicaragua,4,10-Mar-26,Below Threshold,"SketchUp 2026, SketchUp Pro 2019, SketchUp Pro 2021"
3870962#1,Ceenriquedeosso,Nicaragua,5,27-Feb-26,Aborted (Closed),"SketchUp Pro 2018, SketchUp Pro 2019, SketchUp Pro 2020, SketchUp Pro 2022, SketchUp Pro 2023"
4487055#1,Valeriano,Honduras,4,08-Oct-25,Aborted (Closed),SketchUp Pro
1830401#2,DelCampo School,Honduras,3,06-Oct-25,Aborted (Closed),SketchUp Pro
2416836#1,SMARTSOLAR,Honduras,3,16-Sep-25,Aborted (Closed),SketchUp Pro
4319853#1,Slacorp,Honduras,3,21-Aug-25,Aborted (Closed),SketchUp Pro
3109854#2,Saint Peters Academy-Pagina Oficial,Honduras,4,18-Aug-25,Aborted (Closed),SketchUp Pro
2145938#1,Hydrohn,Honduras,3,23-Jul-25,Aborted (Closed),SketchUp Pro
1189781#1,Programa Educatodos,Honduras,4,02-Jul-25,Aborted (Closed),SketchUp Pro
1069684#1,Aldebaran,Honduras,8,16-Jun-25,Aborted (Closed),"SketchUp Make, SketchUp Pro"
300490#1,Etherbin,Honduras,3,30-May-25,Aborted (Closed),SketchUp Pro
924997#1,Lycée Franco-Hondurien,Honduras,12,28-May-25,Aborted (Closed),"SketchUp Make, SketchUp Pro"
