Case ID,Organization Name,Country,No. ofMachines,Last Event,Case Status,Products,Type
4649776#1,Coripuno,Peru,1,07-Jun-26,Below Threshold,SketchUp 2025,Difference
4469496#1,Raurospe,Peru,1,06-Jun-26,Below Threshold,SketchUp Pro 2023,Difference
4613442#1,Sanjosesalto,Argentina,1,06-Jun-26,Aborted (Closed),SketchUp Pro 2021,Difference
4632518#1,Copul,Argentina,1,06-Jun-26,Below Threshold,"SketchUp Pro 2017, SketchUp Pro 2021",Difference
4641891#1,Manny,Argentina,1,06-Jun-26,Below Threshold,SketchUp Pro 2023,Difference
4366923#1,Cosome,Peru,2,06-Jun-26,Aborted (Closed),"SketchUp Pro 2022, SketchUp Pro 2023",Difference
4551125#1,Ventum,Argentina,1,06-Jun-26,Below Threshold,SketchUp Pro 2023,Difference
4469049#1,Monterrico,Peru,2,06-Jun-26,Aborted (Closed),"SketchUp Pro 2022, SketchUp Pro 2023",Difference
4549972#1,Jessica,Argentina,1,06-Jun-26,Unqualified,"SketchUp Pro 2022, SketchUp Pro 2023",Difference
4583235#1,Herbalshealth,Peru,1,06-Jun-26,Below Threshold,SketchUp 2025,Difference
4614599#1,Xtendo,Colombia,1,03-Jun-26,Below Threshold,SketchUp Pro 2022,Difference
4648688#1,Balcom Sas,Colombia,1,03-Jun-26,Below Threshold,SketchUp Pro 2021,Difference
4536175#1,Ieesenergy,Colombia,1,03-Jun-26,Below Threshold,SketchUp 2024,Difference
4531050#1,Constructorasoarco,Colombia,1,03-Jun-26,Below Threshold,SketchUp Pro 2022,Difference
4647313#1,Cnuevavida,Colombia,1,03-Jun-26,Below Threshold,SketchUp Pro 2022,Difference
4625838#1,Navarrete,Chile,1,28-May-26,Below Threshold,SketchUp 2026,Difference
4618966#1,Saverpa,Chile,1,28-May-26,Unqualified,"SketchUp Pro 2017, SketchUp Pro 2021",Difference
4576392#1,Ironblack,Chile,1,27-May-26,Below Threshold,"SketchUp 2026, SketchUp Pro 2021",Difference
4647140#1,Grupogillibrand,Chile,1,27-May-26,Below Threshold,SketchUp 2026,Difference
4587999#1,Hangar22,Chile,2,27-May-26,Below Threshold,SketchUp Pro 2022,Difference
4544341#1,Unyoked,Paraguay,1,24-May-26,Below Threshold,SketchUp 2025,Difference
4641069#1,Fmconstrucciones,Paraguay,1,22-May-26,Below Threshold,"SketchUp 2025, SketchUp Pro 2019",Difference
4535644#1,Leste,Paraguay,1,22-May-26,Unqualified,"SketchUp Pro 2020, SketchUp Pro 2021, SketchUp Pro 2022",Difference
4596307#1,Gamedeckcenter,Bolivia,1,19-May-26,Unqualified,SketchUp Pro 2022,Difference
4645418#1,Faenzaipc,Ecuador,1,19-May-26,Below Threshold,SketchUp 2025,Difference
4645642#1,Cgmsolution,Ecuador,1,19-May-26,Below Threshold,SketchUp Pro 2022,Difference
4597796#1,Waoo S.R.L.,Bolivia,2,19-May-26,Below Threshold,"SketchUp Pro 2020, SketchUp Pro 2021",Difference
4645429#1,Concegua,Ecuador,1,19-May-26,Below Threshold,SketchUp 2025,Difference
4572483#1,Scz,Bolivia,1,18-May-26,Below Threshold,"SketchUp Pro 2020, SketchUp Pro 2022",Difference
4578467#1,Cgespanol,Bolivia,1,18-May-26,Below Threshold,SketchUp Pro 2022,Difference
4547913#1,Soy,Bolivia,1,18-May-26,Below Threshold,SketchUp Pro 2023,Difference
4577495#1,Cambiofacilecuador,Ecuador,1,18-May-26,Below Threshold,"SketchUp 2024, SketchUp Pro 2021",Difference
4645169#1,Acceder,Ecuador,1,17-May-26,Below Threshold,SketchUp Pro 2023,Difference
4532899#1,Skycontainers,Paraguay,1,17-May-26,Below Threshold,SketchUp 2025,Difference
4466833#1,Tulugar,Paraguay,1,16-May-26,Below Threshold,SketchUp Pro 2023,Difference
4641773#1,Munozconstruye,Uruguay,1,01-May-26,Below Threshold,SketchUp Pro 2023,Difference
4531965#1,Sucive,Uruguay,1,01-May-26,Below Threshold,SketchUp 2025,Difference
4570734#1,Logisticar,Uruguay,1,01-May-26,Unqualified,"SketchUp 2024, SketchUp Pro 2023",Difference
4619445#1,Sushimagnum,Uruguay,1,30-Apr-26,Below Threshold,SketchUp Pro 2023,Difference
4609109#1,Enkosa,Uruguay,1,28-Apr-26,Below Threshold,SketchUp 2026,Difference
