Case ID,Organization Name,Country,No. ofMachines,Last Event,Case Status,Products
4593522#1,Boostnet,Mexico,4,29-May-26,Unqualified,"SketchUp Pro 2018, SketchUp Pro 2019, SketchUp Pro 2021, SketchUp Pro 2023"
4607574#1,Tallercu,Mexico,3,29-May-26,Below Threshold,"SketchUp 2025, SketchUp 2026, SketchUp Pro 2021"
4583489#1,Artgow,Mexico,5,29-May-26,Unqualified,"SketchUp 2024, SketchUp 2025, SketchUp Pro 2021, SketchUp Pro 2022, SketchUp Pro 2023"
4631968#1,OpenTI,Mexico,14,29-May-26,Unqualified,"SketchUp 2024, SketchUp 2025, SketchUp Make 2017, SketchUp Pro 2017, SketchUp Pro 2020, SketchUp Pro 2021, SketchUp Pro 2022, SketchUp Pro 2023"
4539336#1,Dipaz,Mexico,3,29-May-26,Below Threshold,"SketchUp 2024, SketchUp 2025, SketchUp Pro 2021"
4608327#1,Studiodisenos,Mexico,3,29-May-26,Unqualified,"SketchUp 2024, SketchUp 2026, SketchUp Pro 2022, SketchUp Pro 2023"
4530830#1,Esdie,Mexico,25,29-May-26,Aborted (Closed),"SketchUp 2025, SketchUp Pro 2021, SketchUp Pro 2023"
4601819#1,Faena,Mexico,4,29-May-26,Unqualified,"SketchUp 2024, SketchUp 2025, SketchUp Pro 2019, SketchUp Pro 2021, SketchUp Pro 2022, SketchUp Pro 2023"
4532350#1,Tgamex,Mexico,3,29-May-26,Below Threshold,"SketchUp Pro 2021, SketchUp Pro 2022"
4630847#1,Pv Sl Hosted Dallas,Mexico,11,29-May-26,Unqualified,"SketchUp Make 2017, SketchUp Pro 2017, SketchUp Pro 2019, SketchUp Pro 2020, SketchUp Pro 2021, SketchUp Pro 2022, SketchUp Pro 2023"
4580286#1,Cespe,Mexico,6,29-May-26,Below Threshold,"SketchUp 2026, SketchUp Pro 2017, SketchUp Pro 2019, SketchUp Pro 2020"
4600597#1,Upq,Mexico,3,28-May-26,Aborted (Closed),"SketchUp 2024, SketchUp 2025, SketchUp Pro 2021"
4567075#1,Caev,Mexico,3,28-May-26,Below Threshold,SketchUp 2025
4547692#1,Uphuejutla,Mexico,5,28-May-26,Aborted (Closed),SketchUp 2024
4641960#1,Uza,Mexico,4,28-May-26,Unqualified,"SketchUp 2024, SketchUp Pro 2018, SketchUp Pro 2019, SketchUp Pro 2020, SketchUp Pro 2021"
4562412#1,Aesarquitectos,Mexico,3,28-May-26,Unqualified,"SketchUp 2024, SketchUp 2025, SketchUp 2026, SketchUp Pro 2019"
4599068#1,Cobaq,Mexico,3,28-May-26,Aborted (Closed),"SketchUp 2024, SketchUp 2025"
4570523#1,Uces,Mexico,4,28-May-26,Aborted (Closed),"SketchUp Pro 2019, SketchUp Pro 2022, SketchUp Pro 2023"
4600789#1,Nuumbra,Mexico,3,28-May-26,Below Threshold,SketchUp 2024
