Case ID,Organization Name,Country,No. ofMachines,Last Event,Case Status,Products
397108#1,Grupo Dovela,Mexico,30,06-Jun-26,Aborted (Closed),"SketchUp Make 2016, SketchUp Make 2017, SketchUp Pro 2016, SketchUp Pro 2017, SketchUp Pro 2018, SketchUp Pro 2019, SketchUp Pro 2020, SketchUp Pro 2021, SketchUp Pro 2022, SketchUp Pro 2023"
1145297#1,BurtonCasanova,Mexico,5,06-Jun-26,Aborted (Closed),"SketchUp 2025, SketchUp Pro 2017, SketchUp Pro 2018, SketchUp Pro 2020, SketchUp Pro 2021, SketchUp Pro 2023"
2289535#1,Wifeet,Dominican Republic,13,06-Jun-26,Below Threshold,"SketchUp Pro 2017, SketchUp Pro 2018, SketchUp Pro 2019, SketchUp Pro 2020, SketchUp Pro 2021"
1844722#1,C Cubica Arquitectos,Mexico,14,06-Jun-26,Pre-Qualified,"SketchUp 2025, SketchUp 2026, SketchUp Make 2017, SketchUp Pro 2017, SketchUp Pro 2018, SketchUp Pro 2019, SketchUp Pro 2020, SketchUp Pro 2021"
1208894#1,Novo Turf Sa De Cv,Mexico,5,06-Jun-26,Below Threshold,"SketchUp 2024, SketchUp Pro 2017, SketchUp Pro 2018, SketchUp Pro 2019, SketchUp Pro 2021"
879806#1,Christian Gomez Espa~a collignon,Mexico,8,06-Jun-26,Unqualified,"SketchUp 2024, SketchUp Pro 2017, SketchUp Pro 2018, SketchUp Pro 2019, SketchUp Pro 2020, SketchUp Pro 2021, SketchUp Pro 2022"
1925068#1,Teresa de Jesus Ibarra Montoya,Mexico,27,06-Jun-26,Unqualified,"SketchUp 2024, SketchUp 2025, SketchUp 2026, SketchUp Make 2017, SketchUp Pro 2017, SketchUp Pro 2018, SketchUp Pro 2019, SketchUp Pro 2020, SketchUp Pro 2021, SketchUp Pro 2022, SketchUp Pro 2023"
2325342#1,Presumo Sonora,Mexico,3,06-Jun-26,Unqualified,"SketchUp 2025, SketchUp Pro 2017, SketchUp Pro 2021, SketchUp Pro 2023"
2311363#1,Docaci Proyectos,Mexico,6,06-Jun-26,Aborted (Closed),"SketchUp Make 2017, SketchUp Pro 2017, SketchUp Pro 2019, SketchUp Pro 2020, SketchUp Pro 2021, SketchUp Pro 2022"
2368274#2,Grupo Siete,Mexico,3,06-Jun-26,Unqualified,"SketchUp 2025, SketchUp Pro 2019, SketchUp Pro 2022"
1077330#1,Lcoral,Mexico,15,06-Jun-26,Unqualified,"SketchUp 2025, SketchUp Make 2017, SketchUp Pro 2017, SketchUp Pro 2018, SketchUp Pro 2019, SketchUp Pro 2020, SketchUp Pro 2021, SketchUp Pro 2022, SketchUp Pro 2023"
1597226#1,Casona,Mexico,9,06-Jun-26,Unqualified,"SketchUp 2025, SketchUp Make 2017, SketchUp Pro 2017, SketchUp Pro 2018, SketchUp Pro 2019, SketchUp Pro 2020, SketchUp Pro 2021, SketchUp Pro 2022"
4583917#1,Difane,Mexico,18,06-Jun-26,Unqualified,"SketchUp 2024, SketchUp 2025, SketchUp 2026, SketchUp Pro 2018, SketchUp Pro 2020, SketchUp Pro 2021, SketchUp Pro 2022, SketchUp Pro 2023"
330019#3,Itesi,Mexico,20,06-Jun-26,Aborted (Closed),"SketchUp Make 2017, SketchUp Pro 2017, SketchUp Pro 2018, SketchUp Pro 2019, SketchUp Pro 2020, SketchUp Pro 2021, SketchUp Pro 2022, SketchUp Pro 2023"
1389585#1,Lucianonunez,Dominican Republic,7,05-Jun-26,Unqualified,"SketchUp Pro 2018, SketchUp Pro 2019, SketchUp Pro 2020, SketchUp Pro 2021, SketchUp Pro 2022, SketchUp Pro 2023"
482307#1,Arqge Arquitectos SRL,Dominican Republic,5,05-Jun-26,Aborted (Closed),"SketchUp 2026, SketchUp Pro 2017, SketchUp Pro 2018, SketchUp Pro 2019, SketchUp Pro 2020, SketchUp Pro 2021"
1573848#2,"Pimentel Piña & Asociados, S.A.",Dominican Republic,6,05-Jun-26,Below Threshold,"SketchUp Pro 2018, SketchUp Pro 2019, SketchUp Pro 2020, SketchUp Pro 2022"
932564#1,Plastikito,Guatemala,3,05-Jun-26,Below Threshold,"SketchUp Make 2017, SketchUp Pro 2017, SketchUp Pro 2018, SketchUp Pro 2020, SketchUp Pro 2022"
1347606#1,Sandiego,Guatemala,3,05-Jun-26,Below Threshold,"SketchUp Pro 2017, SketchUp Pro 2018, SketchUp Pro 2020, SketchUp Pro 2021"
333438#1,SERMA,El Salvador,15,05-Jun-26,Aborted (Closed),"SketchUp Make 2017, SketchUp Pro 2016, SketchUp Pro 2017, SketchUp Pro 2018, SketchUp Pro 2019, SketchUp Pro 2020, SketchUp Pro 2021"
657145#1,Expo El Salvador,El Salvador,7,05-Jun-26,Unqualified,"SketchUp Pro 2017, SketchUp Pro 2018, SketchUp Pro 2019, SketchUp Pro 2020, SketchUp Pro 2021, SketchUp Pro 2022"
2294246#1,Programática de Costa Rica S.A.,Costa Rica,5,05-Jun-26,Unqualified,"SketchUp 2025, SketchUp Pro 2017, SketchUp Pro 2019, SketchUp Pro 2021, SketchUp Pro 2022, SketchUp Pro 2023"
4339504#1,Meduca,Panama,5,05-Jun-26,Aborted (Closed),"SketchUp 2026, SketchUp Pro 2022, SketchUp Pro 2023"
