Case ID,Organization Name,Country,No. ofMachines,Last Event,Case Status,Products
2049863#1,Colegio Quimico Farmaceutico Del Peru,Peru,24,03-Jun-26,Aborted (Closed),"SketchUp Make 2017, SketchUp Pro 2017, SketchUp Pro 2018, SketchUp Pro 2019, SketchUp Pro 2020, SketchUp Pro 2021, SketchUp Pro 2022, SketchUp Pro 2023"
1940957#3,Pan American Silver,Peru,3,03-Jun-26,Below Threshold,"SketchUp 2025, SketchUp Pro 2021, SketchUp Pro 2023"
3259736#1,Santamariachincha,Peru,10,03-Jun-26,Aborted (Closed),"SketchUp Pro 2017, SketchUp Pro 2019, SketchUp Pro 2020, SketchUp Pro 2021, SketchUp Pro 2022"
1873844#1,Cristoreymaristas,Peru,11,03-Jun-26,Aborted (Closed),"SketchUp Make 2017, SketchUp Pro 2017, SketchUp Pro 2018, SketchUp Pro 2019, SketchUp Pro 2020, SketchUp Pro 2021, SketchUp Pro 2022, SketchUp Pro 2023"
857107#2,Uprit,Peru,5,03-Jun-26,Aborted (Closed),"SketchUp 2024, SketchUp Pro 2022, SketchUp Pro 2023"
523931#1,Domingosavio,Peru,20,03-Jun-26,Aborted (Closed),"SketchUp Make 2017, SketchUp Pro 2017, SketchUp Pro 2018, SketchUp Pro 2019, SketchUp Pro 2020, SketchUp Pro 2021, SketchUp Pro 2022"
4534697#1,Bft S.A.C,Peru,4,03-Jun-26,Unqualified,"SketchUp Pro 2020, SketchUp Pro 2023"
3256315#1,Unf,Peru,7,03-Jun-26,Aborted (Closed),"SketchUp Pro 2018, SketchUp Pro 2020, SketchUp Pro 2022, SketchUp Pro 2023"
4484417#1,Remaxaltum,Peru,4,03-Jun-26,Unqualified,"SketchUp Pro 2022, SketchUp Pro 2023"
3407726#1,Presentaciondemaria,Peru,15,03-Jun-26,Aborted (Closed),"SketchUp Pro 2018, SketchUp Pro 2019, SketchUp Pro 2020, SketchUp Pro 2021, SketchUp Pro 2022, SketchUp Pro 2023"
688443#2,Davycollege,Peru,11,03-Jun-26,Aborted (Closed),"SketchUp 2024, SketchUp Make 2017, SketchUp Pro 2018, SketchUp Pro 2019, SketchUp Pro 2020, SketchUp Pro 2021, SketchUp Pro 2022"
4620281#1,Xmyasida,Peru,3,03-Jun-26,Unqualified,"SketchUp 2024, SketchUp Pro 2020, SketchUp Pro 2023"
4569590#1,Flowdigital,Peru,8,03-Jun-26,Unqualified,"SketchUp 2025, SketchUp Pro 2022, SketchUp Pro 2023"
4551735#1,Sainpro S.A.C.,Peru,6,03-Jun-26,Unqualified,"SketchUp 2024, SketchUp 2025, SketchUp Pro 2018, SketchUp Pro 2020, SketchUp Pro 2022, SketchUp Pro 2023"
4567420#1,Grupo,Argentina,4,02-Jun-26,Below Threshold,"SketchUp Pro 2018, SketchUp Pro 2020, SketchUp Pro 2021, SketchUp Pro 2022, SketchUp Pro 2023"
4527503#1,Cucina Ideale,Argentina,5,02-Jun-26,Unqualified,"SketchUp Pro 2021, SketchUp Pro 2023"
4546387#1,Diaz Cesar Luis,Argentina,4,02-Jun-26,Below Threshold,"SketchUp 2025, SketchUp Pro 2020, SketchUp Pro 2023"
47567#3,Adeco Agropecuaria S.R.L,Argentina,16,02-Jun-26,Unqualified,"SketchUp 2024, SketchUp 2025, SketchUp Make 2017, SketchUp Pro 2017, SketchUp Pro 2018, SketchUp Pro 2019, SketchUp Pro 2020, SketchUp Pro 2021, SketchUp Pro 2022"
4575580#1,Netway,Argentina,8,02-Jun-26,Unqualified,"SketchUp Pro 2018, SketchUp Pro 2020, SketchUp Pro 2021, SketchUp Pro 2023"
