Case ID,Organization Name,Country,No. ofMachines,Last Event,Case Status,Products
2921086#1,AVLA Perú,Peru,3,30-May-26,Below Threshold,"SketchUp 2024, SketchUp Pro 2019, SketchUp Pro 2023"
4535249#1,Manag3r,Peru,3,30-May-26,Below Threshold,"SketchUp 2025, SketchUp Pro 2022"
2391620#1,Autoridad Portuaria Nacional,Peru,23,30-May-26,Unqualified,"SketchUp 2025, SketchUp Make 2017, SketchUp Pro 2019, SketchUp Pro 2020, SketchUp Pro 2021, SketchUp Pro 2022, SketchUp Pro 2023"
1840584#1,Trucks tract USA,Peru,4,30-May-26,Aborted (Closed),"SketchUp Pro 2018, SketchUp Pro 2019, SketchUp Pro 2020, SketchUp Pro 2021, SketchUp Pro 2022, SketchUp Pro 2023"
2477232#1,Colegiocientifica,Peru,5,30-May-26,Aborted (Closed),"SketchUp Make 2017, SketchUp Pro 2017, SketchUp Pro 2020, SketchUp Pro 2021"
652644#1,Colegio Santa Maria Marianistas,Peru,14,29-May-26,Aborted (Closed),"SketchUp Make 2017, SketchUp Pro 2016, SketchUp Pro 2017, SketchUp Pro 2018, SketchUp Pro 2019, SketchUp Pro 2020, SketchUp Pro 2021, SketchUp Pro 2023"
4498116#1,Raptorsupplies,Peru,4,29-May-26,Below Threshold,"SketchUp 2024, SketchUp 2025, SketchUp Pro 2022, SketchUp Pro 2023"
4615441#1,Prodemco,Peru,8,29-May-26,Unqualified,"SketchUp 2024, SketchUp 2025, SketchUp Make 2017, SketchUp Pro 2020, SketchUp Pro 2022, SketchUp Pro 2023"
4448993#1,GRUPO MOLICOM,Peru,9,29-May-26,Unqualified,"SketchUp 2024, SketchUp 2025, SketchUp 2026, SketchUp Pro 2022, SketchUp Pro 2023"
2917551#1,Coop Electrica Ltda De San Jose De La Dormida,Argentina,5,29-May-26,Unqualified,"SketchUp Pro 2018, SketchUp Pro 2021"
4422539#1,Unach,Peru,34,29-May-26,Aborted (Closed),"SketchUp 2024, SketchUp Pro 2020, SketchUp Pro 2021, SketchUp Pro 2022, SketchUp Pro 2023"
4594197#1,Cdnext Eze,Argentina,10,29-May-26,Unqualified,"SketchUp 2025, SketchUp 2026, SketchUp Make 2017, SketchUp Pro 2018, SketchUp Pro 2021, SketchUp Pro 2023"
4609823#1,Eventsright,Argentina,3,29-May-26,Unqualified,"SketchUp 2025, SketchUp 2026, SketchUp Pro 2018, SketchUp Pro 2020, SketchUp Pro 2021, SketchUp Pro 2022, SketchUp Pro 2023"
4546586#1,Kaizen360pe,Peru,3,29-May-26,Unqualified,SketchUp 2025
3865668#1,Inteci,Peru,3,29-May-26,Aborted (Closed),"SketchUp Pro 2020, SketchUp Pro 2021, SketchUp Pro 2022"
2443296#1,Cifo,Peru,5,29-May-26,Aborted (Closed),"SketchUp 2024, SketchUp Pro 2018, SketchUp Pro 2019, SketchUp Pro 2022"
4546509#1,Florentin,Argentina,3,29-May-26,Unqualified,"SketchUp Pro 2020, SketchUp Pro 2022, SketchUp Pro 2023"
441299#4,maquiprocesos,Peru,3,29-May-26,Below Threshold,"SketchUp Pro 2018, SketchUp Pro 2020, SketchUp Pro 2022, SketchUp Pro 2023"
4423261#1,Upeu,Peru,44,29-May-26,Aborted (Closed),"SketchUp 2024, SketchUp Pro 2020, SketchUp Pro 2021, SketchUp Pro 2022, SketchUp Pro 2023"
4445625#1,Zegel,Peru,35,29-May-26,Unqualified,"SketchUp 2024, SketchUp 2025, SketchUp Pro 2021, SketchUp Pro 2022, SketchUp Pro 2023"
1251509#1,Lnga,Peru,10,29-May-26,Aborted (Closed),"SketchUp Pro 2017, SketchUp Pro 2018, SketchUp Pro 2020, SketchUp Pro 2021, SketchUp Pro 2022, SketchUp Pro 2023"
1714541#1,Thomasjefferson,Peru,13,29-May-26,Aborted (Closed),"SketchUp 2026, SketchUp Pro 2017, SketchUp Pro 2018, SketchUp Pro 2019, SketchUp Pro 2020, SketchUp Pro 2021, SketchUp Pro 2022, SketchUp Pro 2023"
2220352#1,Otarquitectos,Peru,6,29-May-26,Below Threshold,"SketchUp 2024, SketchUp 2025, SketchUp Pro 2019, SketchUp Pro 2023"
4614784#1,Creacionesjeanette,Peru,3,29-May-26,Unqualified,"SketchUp Pro 2018, SketchUp Pro 2019, SketchUp Pro 2020, SketchUp Pro 2021"
4580367#1,Tured,Argentina,7,29-May-26,Unqualified,"SketchUp Pro 2018, SketchUp Pro 2019, SketchUp Pro 2020, SketchUp Pro 2021, SketchUp Pro 2022, SketchUp Pro 2023"
2446700#3,C.E.P. Santa Maria De Brena E.I.R.L.,Peru,5,29-May-26,Aborted (Closed),"SketchUp 2025, SketchUp 2026, SketchUp Pro 2019, SketchUp Pro 2020, SketchUp Pro 2021, SketchUp Pro 2022"
4541338#1,SwissNet,Argentina,30,29-May-26,Unqualified,"SketchUp 2024, SketchUp Make 2017, SketchUp Pro 2017, SketchUp Pro 2018, SketchUp Pro 2019, SketchUp Pro 2020, SketchUp Pro 2021, SketchUp Pro 2022, SketchUp Pro 2023"
4590983#1,Filabe,Argentina,4,29-May-26,Below Threshold,SketchUp Pro 2023
4623798#1,Capba,Argentina,5,29-May-26,Below Threshold,"SketchUp Pro 2017, SketchUp Pro 2018, SketchUp Pro 2019, SketchUp Pro 2021, SketchUp Pro 2023"
672182#1,universidad ricardo palma,Peru,49,28-May-26,Aborted (Closed),"SketchUp 2025, SketchUp Make 2017, SketchUp Pro 2017, SketchUp Pro 2018, SketchUp Pro 2019, SketchUp Pro 2020, SketchUp Pro 2021, SketchUp Pro 2022, SketchUp Pro 2023"
907093#1,Msr,Argentina,17,28-May-26,Unqualified,"SketchUp Make 2017, SketchUp Pro 2018, SketchUp Pro 2019, SketchUp Pro 2020, SketchUp Pro 2021"
3885647#1,Cotesma,Argentina,3,28-May-26,Below Threshold,"SketchUp Pro 2017, SketchUp Pro 2018, SketchUp Pro 2019, SketchUp Pro 2020, SketchUp Pro 2021"
4478992#1,Jvconstructor,Peru,4,28-May-26,Below Threshold,"SketchUp 2024, SketchUp Pro 2022, SketchUp Pro 2023"
4448312#1,Lagunasnorte,Peru,5,28-May-26,Below Threshold,"SketchUp 2026, SketchUp Pro 2022"
4568128#1,Arteplac,Argentina,4,28-May-26,Unqualified,"SketchUp Pro 2022, SketchUp Pro 2023"
878469#1,Miranda Arquitectos,Peru,26,28-May-26,Unqualified,"SketchUp 2024, SketchUp Make 2017, SketchUp Pro 2016, SketchUp Pro 2017, SketchUp Pro 2018, SketchUp Pro 2019, SketchUp Pro 2020, SketchUp Pro 2021, SketchUp Pro 2023"
4294850#1,INTEGRA RETAIL,Peru,3,28-May-26,Below Threshold,"SketchUp Pro 2019, SketchUp Pro 2021"
2145417#1,Ultramodular,Peru,4,28-May-26,Unqualified,"SketchUp 2024, SketchUp Make 2017, SketchUp Pro 2017, SketchUp Pro 2020, SketchUp Pro 2023"
697573#2,SENCICO,Peru,38,28-May-26,Aborted (Closed),"SketchUp 2024, SketchUp 2025, SketchUp Make 2017, SketchUp Pro 2017, SketchUp Pro 2018, SketchUp Pro 2019, SketchUp Pro 2020, SketchUp Pro 2021, SketchUp Pro 2022, SketchUp Pro 2023"
392597#1,Sansilvestre,Peru,22,28-May-26,Aborted (Closed),"SketchUp Make 2016, SketchUp Make 2017, SketchUp Pro 2016, SketchUp Pro 2017, SketchUp Pro 2018, SketchUp Pro 2019, SketchUp Pro 2020, SketchUp Pro 2021, SketchUp Pro 2022, SketchUp Pro 2023"
4574931#1,Tecsup N 1,Peru,6,28-May-26,Unqualified,"SketchUp 2024, SketchUp 2025, SketchUp Pro 2021, SketchUp Pro 2022"
4579280#1,Repuestosuniversal,Argentina,3,28-May-26,Aborted (Closed),"SketchUp Pro 2021, SketchUp Pro 2022, SketchUp Pro 2023"
2179640#1,Sda,Peru,17,28-May-26,Aborted (Closed),"SketchUp Pro 2018, SketchUp Pro 2019, SketchUp Pro 2020, SketchUp Pro 2021, SketchUp Pro 2022, SketchUp Pro 2023"
4595134#1,Thors,Argentina,6,28-May-26,Unqualified,"SketchUp 2024, SketchUp 2025, SketchUp Pro 2020, SketchUp Pro 2021, SketchUp Pro 2022, SketchUp Pro 2023"
4612826#1,Futurnet,Argentina,14,28-May-26,Unqualified,"SketchUp Pro 2017, SketchUp Pro 2018, SketchUp Pro 2019, SketchUp Pro 2020, SketchUp Pro 2021, SketchUp Pro 2022"
