Case ID,Organization Name,Country,No. ofMachines,Last Event,Case Status,Products,Type
4586213#1,981caf61-Ead4-4439-Aecd-E2293d4c3f88,Peru,1,07-Jul-26,Below Threshold,"SketchUp Pro 2017, SketchUp Pro 2021",Difference
4656829#1,Whcdelperu,Peru,1,07-Jul-26,Below Threshold,SketchUp 2025,Difference
4653172#1,Tresor,Peru,2,06-Jul-26,Below Threshold,"SketchUp 2026, SketchUp Pro 2023",Difference
4579775#1,Calzados,Argentina,1,06-Jul-26,Below Threshold,SketchUp Pro 2023,Difference
4656742#1,Cooperativa De Ahorro Y Credito Norandin,Peru,1,06-Jul-26,Below Threshold,SketchUp Pro 2018,Difference
4651565#1,Iemb,Colombia,1,06-Jul-26,Aborted (Closed),SketchUp Pro 2022,Difference
4576820#1,Surtifoods,Peru,1,06-Jul-26,Below Threshold,SketchUp 2025,Difference
4537819#1,Lab Casasco Sa,Argentina,1,06-Jul-26,Below Threshold,SketchUp Pro 2021,Difference
4656790#1,Valdoraconstrucciones,Colombia,1,06-Jul-26,Below Threshold,SketchUp Pro 2022,Difference
4656630#1,Huertojesusmaria,Argentina,1,06-Jul-26,Aborted (Closed),SketchUp Pro 2023,Difference
4590393#1,Personeriabogota,Colombia,1,06-Jul-26,Below Threshold,SketchUp Pro 2017,Difference
4539374#1,Incorporativa,Colombia,1,06-Jul-26,Below Threshold,"SketchUp 2025, SketchUp 2026",Difference
4647191#1,Aghrconsulting,Argentina,1,06-Jul-26,Below Threshold,SketchUp Pro 2023,Difference
4656763#1,Cosmoscolombia,Colombia,1,06-Jul-26,Below Threshold,SketchUp Pro 2022,Difference
4611449#1,Besseramoblamientos,Argentina,1,06-Jul-26,Unqualified,SketchUp Pro 2022,Difference
4656530#1,Acepropiedades,Chile,1,05-Jul-26,Below Threshold,SketchUp 2025,Difference
4539437#1,Desamlu,Chile,1,05-Jul-26,Below Threshold,SketchUp Pro 2021,Difference
4601010#1,Gejmanm,Chile,1,05-Jul-26,Below Threshold,SketchUp 2025,Difference
4653817#1,Serviciosguzman,Chile,1,05-Jul-26,Below Threshold,SketchUp 2025,Difference
4656380#1,Direccion Distrital De Salud Nro. 11d02,Ecuador,1,04-Jul-26,Below Threshold,SketchUp 2025,Difference
4650559#1,Redcomec,Ecuador,1,03-Jul-26,Below Threshold,SketchUp Pro 2022,Difference
4651798#1,Sumakkawsay,Ecuador,1,03-Jul-26,Below Threshold,SketchUp Pro 2020,Difference
4656000#1,Piuclic,Ecuador,1,03-Jul-26,Below Threshold,SketchUp Pro 2023,Difference
4655824#1,Estudioclave,Uruguay,1,02-Jul-26,Below Threshold,SketchUp Pro 2023,Difference
4553098#1,Grupo Ciappesoni,Uruguay,1,01-Jul-26,Below Threshold,SketchUp 2025,Difference
4599545#1,Epicabol,Bolivia,1,01-Jul-26,Below Threshold,SketchUp Pro 2022,Difference
4654111#1,Laoptica,Bolivia,1,24-Jun-26,Below Threshold,SketchUp 2025,Difference
4550893#1,Ids,Bolivia,1,23-Jun-26,Aborted (Closed),SketchUp Pro 2023,Difference
4653526#1,Claudiafabiola,Bolivia,1,23-Jun-26,Below Threshold,SketchUp Pro 2022,Difference
4572088#1,Asistime,Uruguay,1,15-Jun-26,Below Threshold,SketchUp Pro 2023,Difference
4555500#1,0114214f-9f0f-47a5-Abea-0115353a6614,Uruguay,1,14-Jun-26,Aborted (Closed),SketchUp Pro 2020,Difference
4588337#1,Teknoice,Paraguay,1,10-Jun-26,Below Threshold,"SketchUp 2025, SketchUp Pro 2023",Difference
4533036#1,Libra Constructora,Paraguay,1,08-Jun-26,Below Threshold,SketchUp Pro 2022,Difference
4600025#1,Inkode,Paraguay,1,13-May-26,Below Threshold,"SketchUp 2024, SketchUp Pro 2020",Difference
4522137#1,Vargaspena,Paraguay,1,13-May-26,Unqualified,SketchUp Pro 2021,Difference
