Case ID,Organization Name,Country,No. ofMachines,Last Event,Case Status,Products
4471208#1,Versatilarquitectos,Peru,1,05-Jun-26,Below Threshold,SketchUp Pro 2022
4450383#1,Munibelen,Peru,1,05-Jun-26,Below Threshold,SketchUp Pro 2023
4577531#1,Estudiosi,Argentina,1,05-Jun-26,Below Threshold,SketchUp 2025
4537188#1,Tsestilo,Colombia,1,05-Jun-26,Unqualified,SketchUp Pro 2023
4600761#1,Creardiseno,Colombia,1,05-Jun-26,Below Threshold,SketchUp 2025
4649188#1,Tmodulo,Peru,1,05-Jun-26,Below Threshold,SketchUp 2025
4646334#1,Inalsa,Colombia,1,05-Jun-26,Below Threshold,SketchUp 2025
4608461#1,Tarsingenieria,Argentina,1,05-Jun-26,Below Threshold,SketchUp 2026
4649249#1,Estudiobz,Argentina,1,05-Jun-26,Below Threshold,"SketchUp Pro 2017, SketchUp Pro 2023"
4535209#1,Moda,Argentina,1,05-Jun-26,Below Threshold,SketchUp Pro 2023
4642289#1,Arquini,Peru,1,05-Jun-26,Below Threshold,SketchUp 2025
4538505#1,Yeuzive,Peru,1,05-Jun-26,Unqualified,"SketchUp 2024, SketchUp Pro 2021"
4649350#1,Ingenieriabadran,Argentina,1,05-Jun-26,Below Threshold,SketchUp 2026
4598200#1,Industriasnodo,Colombia,1,04-Jun-26,Below Threshold,SketchUp 2024
4543661#1,LGMETAL,Chile,1,03-Jun-26,Below Threshold,"SketchUp 2025, SketchUp Pro 2020"
4646159#1,Scconstrucciones,Chile,1,03-Jun-26,Below Threshold,SketchUp 2025
4569204#1,Estudiocvh,Paraguay,2,03-Jun-26,Unqualified,"SketchUp 2025, SketchUp Pro 2021, SketchUp Pro 2022, SketchUp Pro 2023"
4546752#1,Eicap,Bolivia,2,03-Jun-26,Below Threshold,SketchUp Pro 2022
4589209#1,Gtfilmes,Paraguay,1,03-Jun-26,Below Threshold,SketchUp 2024
4598931#1,Metalcisa,Bolivia,1,03-Jun-26,Unqualified,SketchUp Pro 2022
4572242#1,Sudameris,Paraguay,2,02-Jun-26,Below Threshold,"SketchUp 2025, SketchUp Pro 2023"
4572755#1,Ayq,Paraguay,1,02-Jun-26,Below Threshold,SketchUp Pro 2023
4606768#1,Nvr,Ecuador,1,02-Jun-26,Aborted (Closed),SketchUp Pro 2023
4644128#1,Terbol S.A. Cochabamba,Bolivia,1,02-Jun-26,Below Threshold,SketchUp 2026
4608891#1,Cumbredental,Chile,1,02-Jun-26,Unqualified,SketchUp Pro 2022
4648292#1,Tcisa,Paraguay,1,02-Jun-26,Below Threshold,SketchUp 2026
4644143#1,UNIVERSIDAD DUCENS,Ecuador,1,02-Jun-26,Aborted (Closed),SketchUp 2025
4507989#1,Servicorp,Ecuador,1,02-Jun-26,Below Threshold,SketchUp Pro 2022
4638502#1,Ssayacucho1lapaz,Bolivia,1,02-Jun-26,Below Threshold,SketchUp Pro 2023
4583942#1,Canko,Chile,1,02-Jun-26,Below Threshold,SketchUp 2025
4648543#1,Saam,Chile,1,02-Jun-26,Below Threshold,SketchUp 2025
4648309#1,Malpartida508,Bolivia,1,02-Jun-26,Below Threshold,SketchUp Pro 2023
4568151#1,Exka,Ecuador,1,02-Jun-26,Below Threshold,"SketchUp 2025, SketchUp 2026"
4557502#1,Asociation De Municipalidades Ecuatrianas,Ecuador,1,01-Jun-26,Below Threshold,SketchUp Pro 2022
4531927#1,Theyellowkat23,Uruguay,1,01-Jun-26,Below Threshold,SketchUp Pro 2023
4631260#1,Mvicente,Uruguay,1,01-Jun-26,Below Threshold,SketchUp Pro 2022
4533478#1,Tecno,Uruguay,1,31-May-26,Below Threshold,SketchUp Pro 2023
4532940#1,Csiing,Uruguay,1,31-May-26,Below Threshold,SketchUp Pro 2023
4544988#1,Tienda Inglesa,Uruguay,1,30-May-26,Below Threshold,SketchUp Pro 2022
