Case ID,Organization Name,Country,No. ofMachines,Last Event,Case Status,Products,Type
766774#2,fausto zamora alcantara,Mexico,12,29-Jun-26,Aborted (Closed),"SketchUp 2025, SketchUp Pro 2017, SketchUp Pro 2018, SketchUp Pro 2019, SketchUp Pro 2020, SketchUp Pro 2021, SketchUp Pro 2022",Outdated
1155450#1,Intratex,Panama,30,29-Jun-26,Unqualified,"SketchUp 2024, SketchUp 2025, SketchUp Make 2017, SketchUp Pro 2017, SketchUp Pro 2018, SketchUp Pro 2019, SketchUp Pro 2020, SketchUp Pro 2021, SketchUp Pro 2023",Outdated
1838613#1,Diamond Mb Production Srl,Dominican Republic,49,29-Jun-26,Unqualified,"SketchUp Pro 2017, SketchUp Pro 2018, SketchUp Pro 2019, SketchUp Pro 2020, SketchUp Pro 2021, SketchUp Pro 2022, SketchUp Pro 2023",Outdated
4367901#1,Enjoi,Mexico,52,29-Jun-26,Unqualified,"SketchUp 2024, SketchUp 2025, SketchUp Pro 2017, SketchUp Pro 2018, SketchUp Pro 2019, SketchUp Pro 2020, SketchUp Pro 2021, SketchUp Pro 2022, SketchUp Pro 2023",Outdated
4319137#1,Advanced Research Laboratories Sa De Cv,Mexico,3,29-Jun-26,Below Threshold,"SketchUp Pro 2018, SketchUp Pro 2019, SketchUp Pro 2021, SketchUp Pro 2022",Outdated
4422725#1,Bnu,Mexico,12,29-Jun-26,Aborted (Closed),"SketchUp 2024, SketchUp 2025, SketchUp Pro 2020, SketchUp Pro 2021, SketchUp Pro 2022, SketchUp Pro 2023",Outdated
1080349#1,"Tecnical, S.A. de C.V.",Mexico,5,29-Jun-26,Below Threshold,"SketchUp Pro 2017, SketchUp Pro 2018, SketchUp Pro 2019, SketchUp Pro 2020, SketchUp Pro 2021, SketchUp Pro 2022",Outdated
4329405#1,Igsaservices,Mexico,4,29-Jun-26,Unqualified,"SketchUp 2025, SketchUp Pro 2020, SketchUp Pro 2022, SketchUp Pro 2023",Outdated
4523228#1,Gmodelo,Mexico,5,29-Jun-26,Below Threshold,"SketchUp 2024, SketchUp 2025",Outdated
4534028#1,Vavel Technologies,Mexico,13,29-Jun-26,Unqualified,"SketchUp 2024, SketchUp 2025, SketchUp Make 2017, SketchUp Pro 2017, SketchUp Pro 2018, SketchUp Pro 2020, SketchUp Pro 2021, SketchUp Pro 2022, SketchUp Pro 2023",Outdated
4498399#1,Galta,Mexico,4,29-Jun-26,Below Threshold,"SketchUp 2024, SketchUp 2025, SketchUp Pro 2023",Outdated
4422981#1,Newww,Mexico,51,29-Jun-26,Unqualified,"SketchUp 2024, SketchUp 2025, SketchUp 2026, SketchUp Pro 2020, SketchUp Pro 2021, SketchUp Pro 2022, SketchUp Pro 2023",Outdated
1627264#1,Plan International,Dominican Republic,30,29-Jun-26,Unqualified,"SketchUp Make 2017, SketchUp Pro 2017, SketchUp Pro 2018, SketchUp Pro 2019, SketchUp Pro 2020, SketchUp Pro 2021, SketchUp Pro 2022, SketchUp Pro 2023",Outdated
422539#1,Arcsagroup,Costa Rica,3,28-Jun-26,Below Threshold,"SketchUp Pro 2017, SketchUp Pro 2018, SketchUp Pro 2021",Outdated
1777685#1,Hidroelectrica,Dominican Republic,7,28-Jun-26,Below Threshold,"SketchUp Pro 2018, SketchUp Pro 2020, SketchUp Pro 2021, SketchUp Pro 2023",Outdated
988538#1,Diorvett Int. Zona,Panama,5,28-Jun-26,Below Threshold,"SketchUp 2025, SketchUp 2026, SketchUp Pro 2017, SketchUp Pro 2018, SketchUp Pro 2020, SketchUp Pro 2021",Outdated
4540299#1,Internet De Oriente S.A.,Guatemala,5,28-Jun-26,Unqualified,SketchUp Pro 2021,Outdated
