Case ID,Organization Name,Country,No. ofMachines,Last Event,Case Status,Products
4594538#1,Studio2arquitectos,Mexico,30,26-May-26,Unqualified,"SketchUp 2024, SketchUp 2025, SketchUp 2026, SketchUp Pro 2017, SketchUp Pro 2018, SketchUp Pro 2019, SketchUp Pro 2020, SketchUp Pro 2021, SketchUp Pro 2022, SketchUp Pro 2023"
915227#1,Lincoln,Nicaragua,13,26-May-26,Aborted (Closed),"SketchUp Make 2017, SketchUp Pro 2017, SketchUp Pro 2018, SketchUp Pro 2019, SketchUp Pro 2020, SketchUp Pro 2021, SketchUp Pro 2023"
4638337#1,General Viejo Professional Technical School,Costa Rica,4,26-May-26,Aborted (Closed),SketchUp Pro 2022
4579758#1,Inoval,Mexico,6,25-May-26,Unqualified,"SketchUp 2025, SketchUp 2026, SketchUp Pro 2022, SketchUp Pro 2023"
4630213#1,Crovettodesign,Nicaragua,7,25-May-26,Unqualified,"SketchUp 2024, SketchUp 2025, SketchUp Pro 2021, SketchUp Pro 2022, SketchUp Pro 2023"
892682#1,Teresiano,Nicaragua,14,25-May-26,Aborted (Closed),"SketchUp Make 2017, SketchUp Pro 2017, SketchUp Pro 2018, SketchUp Pro 2019, SketchUp Pro 2020, SketchUp Pro 2021, SketchUp Pro 2022, SketchUp Pro 2023"
589312#1,Olofpalme,Nicaragua,7,25-May-26,Unqualified,"SketchUp 2025, SketchUp Pro 2017, SketchUp Pro 2018, SketchUp Pro 2019, SketchUp Pro 2021"
721950#1,Udem,Nicaragua,8,24-May-26,Aborted (Closed),"SketchUp 2025, SketchUp Pro 2017, SketchUp Pro 2019, SketchUp Pro 2020, SketchUp Pro 2021, SketchUp Pro 2022, SketchUp Pro 2023"
4638342#1,Dharius,Mexico,3,24-May-26,Unqualified,"SketchUp 2024, SketchUp 2025, SketchUp 2026, SketchUp Pro 2020, SketchUp Pro 2021"
4608260#1,Yadro,Mexico,4,24-May-26,Below Threshold,"SketchUp 2024, SketchUp 2025, SketchUp 2026, SketchUp Pro 2020, SketchUp Pro 2021, SketchUp Pro 2023"
489666#1,FARO Technologies Inc,Mexico,42,24-May-26,Unqualified,"SketchUp 2024, SketchUp 2025, SketchUp 2026, SketchUp Make 2017, SketchUp Pro 2017, SketchUp Pro 2019, SketchUp Pro 2021, SketchUp Pro 2022, SketchUp Pro 2023"
1108336#1,Colegioguadalupanosv,El Salvador,23,24-May-26,Aborted (Closed),"SketchUp Make 2017, SketchUp Pro 2017, SketchUp Pro 2018, SketchUp Pro 2019, SketchUp Pro 2020, SketchUp Pro 2021, SketchUp Pro 2022, SketchUp Pro 2023"
4579931#1,Tecnologicotlahuac,Mexico,16,24-May-26,Aborted (Closed),"SketchUp 2024, SketchUp 2025, SketchUp 2026, SketchUp Pro 2022, SketchUp Pro 2023"
4631125#1,Alkimiamx,Mexico,3,24-May-26,Unqualified,"SketchUp 2025, SketchUp 2026"
1061406#1,Fruvetsa S.A. De C.V.,Honduras,4,23-May-26,Unqualified,"SketchUp Pro 2018, SketchUp Pro 2021"
721531#1,Cedac,Honduras,37,23-May-26,Aborted (Closed),"SketchUp Pro 2017, SketchUp Pro 2018, SketchUp Pro 2019, SketchUp Pro 2020, SketchUp Pro 2021, SketchUp Pro 2022, SketchUp Pro 2023"
4567866#1,Tuca,Mexico,5,23-May-26,Below Threshold,"SketchUp 2024, SketchUp 2025, SketchUp 2026, SketchUp Pro 2021, SketchUp Pro 2022"
4597776#1,Akash,Mexico,6,23-May-26,Unqualified,"SketchUp 2025, SketchUp 2026, SketchUp Pro 2017, SketchUp Pro 2021, SketchUp Pro 2022"
4601859#1,Avarose,Mexico,5,23-May-26,Unqualified,"SketchUp 2025, SketchUp 2026, SketchUp Pro 2019, SketchUp Pro 2022"
4374537#1,Myparadigm,Nicaragua,3,21-May-26,Below Threshold,"SketchUp 2025, SketchUp Pro 2022, SketchUp Pro 2023"
792073#1,Arte Casa,Nicaragua,6,21-May-26,Unqualified,"SketchUp 2025, SketchUp 2026, SketchUp Pro 2017, SketchUp Pro 2018, SketchUp Pro 2020, SketchUp Pro 2023"
4608071#1,FLYNET,El Salvador,10,21-May-26,Unqualified,"SketchUp Pro 2020, SketchUp Pro 2021, SketchUp Pro 2022"
4629885#1,Eupmc,Nicaragua,4,21-May-26,Aborted (Closed),"SketchUp Pro 2017, SketchUp Pro 2018, SketchUp Pro 2019, SketchUp Pro 2020, SketchUp Pro 2021"
893030#1,Uraccan,Nicaragua,38,21-May-26,Aborted (Closed),"SketchUp 2025, SketchUp Pro 2017, SketchUp Pro 2018, SketchUp Pro 2019, SketchUp Pro 2020, SketchUp Pro 2021, SketchUp Pro 2022, SketchUp Pro 2023"
3879835#1,Santotomas,Honduras,8,20-May-26,Aborted (Closed),"SketchUp Pro 2019, SketchUp Pro 2022"
3050518#1,Nidodeaguilas,Honduras,6,20-May-26,Aborted (Closed),"SketchUp Pro 2017, SketchUp Pro 2019, SketchUp Pro 2021, SketchUp Pro 2022, SketchUp Pro 2023"
1434256#4,Honduras Medical College,Honduras,15,20-May-26,Aborted (Closed),"SketchUp Pro 2017, SketchUp Pro 2018, SketchUp Pro 2019, SketchUp Pro 2020, SketchUp Pro 2021"
722879#1,Secretaría de Educación Honduras,Honduras,21,19-May-26,Aborted (Closed),"SketchUp Pro 2017, SketchUp Pro 2018, SketchUp Pro 2019, SketchUp Pro 2020, SketchUp Pro 2021, SketchUp Pro 2022, SketchUp Pro 2023"
4541565#1,Psinet S.A.,Honduras,4,19-May-26,Unqualified,"SketchUp Pro 2020, SketchUp Pro 2021, SketchUp Pro 2023"
4452027#1,Adbtpi,Honduras,46,19-May-26,Aborted (Closed),"SketchUp Pro 2019, SketchUp Pro 2020"
1908668#1,Clima Development,Honduras,23,17-May-26,Unqualified,"SketchUp 2025, SketchUp Pro 2018"
326999#1,Delcampo International School,Honduras,26,15-May-26,Aborted (Closed),"SketchUp Make 2016, SketchUp Make 2017, SketchUp Pro 2016, SketchUp Pro 2017, SketchUp Pro 2018, SketchUp Pro 2019, SketchUp Pro 2020, SketchUp Pro 2021, SketchUp Pro 2023"
4329205#1,FT Williams and Associates,Belize,3,27-Apr-26,Below Threshold,"SketchUp Pro 2020, SketchUp Pro 2022"
687917#2,Dsl Block,Belize,5,15-Apr-26,Aborted (Closed),"SketchUp Make 2017, SketchUp Pro 2020, SketchUp Pro 2023"
4517472#1,Autocad,Belize,4,24-Feb-26,Below Threshold,"SketchUp Pro 2017, SketchUp Pro 2020, SketchUp Pro 2021, SketchUp Pro 2022"
2441820#1,Javier,Panama,11,08-Oct-25,Aborted (Closed),SketchUp Pro
2391063#1,Inadeh,Panama,3,22-Apr-25,Aborted (Closed),SketchUp Pro
1074383#1,Upedagogica,El Salvador,6,04-Apr-25,Aborted (Closed),SketchUp Pro
1066134#1,Santacecilia,El Salvador,10,01-Apr-25,Aborted (Closed),SketchUp Pro
885661#1,Ds,El Salvador,9,25-Feb-25,Aborted (Closed),"SketchUp Make, SketchUp Pro"
