Case ID,Organization Name,Country,No. ofMachines,Last Event,Case Status,Products
4552733#1,Cnhyde,Mexico,3,24-May-26,Below Threshold,"SketchUp 2024, SketchUp 2025, SketchUp 2026, SketchUp Pro 2022, SketchUp Pro 2023"
4535400#1,Dittech,Mexico,1,24-May-26,Below Threshold,"SketchUp 2025, SketchUp Pro 2021"
4646484#1,Buckinghamcolegio,Mexico,1,24-May-26,Below Threshold,SketchUp Pro 2022
4546300#1,Ingerarq,Mexico,1,24-May-26,Below Threshold,"SketchUp 2024, SketchUp 2025"
4646379#1,Orionasesores,Mexico,1,24-May-26,Below Threshold,"SketchUp 2025, SketchUp Pro 2020"
554561#8,"Corporativo Vasco de Quiroga, S.A. de C.V.",Mexico,"13,076",24-May-26,Unqualified,"SketchUp 2024, SketchUp 2025, SketchUp 2026, SketchUp Make 2016, SketchUp Make 2017, SketchUp Pro 2016, SketchUp Pro 2017, SketchUp Pro 2018, SketchUp Pro 2019, SketchUp Pro 2020, SketchUp Pro 2021, SketchUp Pro 2022, SketchUp Pro 2023"
4594538#1,Studio2arquitectos,Mexico,30,24-May-26,Unqualified,"SketchUp 2024, SketchUp 2025, SketchUp 2026, SketchUp Pro 2017, SketchUp Pro 2018, SketchUp Pro 2019, SketchUp Pro 2020, SketchUp Pro 2021, SketchUp Pro 2022, SketchUp Pro 2023"
4543838#1,Intama,Mexico,1,24-May-26,Unqualified,SketchUp 2025
717915#3,UNAH Universidad Nacional Autónoma de Honduras,Honduras,357,24-May-26,Aborted (Closed),"SketchUp 2024, SketchUp 2025, SketchUp 2026, SketchUp Make 2017, SketchUp Pro 2017, SketchUp Pro 2018, SketchUp Pro 2019, SketchUp Pro 2020, SketchUp Pro 2021, SketchUp Pro 2022, SketchUp Pro 2023"
192681#40,Instituto Politécnico Nacional,Mexico,"4,040",24-May-26,Aborted (Closed),"SketchUp 2024, SketchUp 2025, SketchUp 2026, SketchUp Make 2016, SketchUp Make 2017, SketchUp Pro 2016, SketchUp Pro 2017, SketchUp Pro 2018, SketchUp Pro 2019, SketchUp Pro 2020, SketchUp Pro 2021, SketchUp Pro 2022, SketchUp Pro 2023"
4529422#1,Instituto Nacional Sn Luis,El Salvador,2,24-May-26,Aborted (Closed),SketchUp Pro 2021
4545001#1,Armansi,Mexico,1,24-May-26,Below Threshold,SketchUp 2025
