Case ID,Organization Name,Country,No. ofMachines,Last Event,Case Status,Products,Type
4592991#1,Remsamexico,Mexico,1,07-Jul-26,Below Threshold,SketchUp 2025,Difference
4656820#1,Goaenchapados,Mexico,1,07-Jul-26,Below Threshold,SketchUp 2025,Difference
4650536#1,Kisherqro,Mexico,1,07-Jul-26,Below Threshold,"SketchUp Pro 2021, SketchUp Pro 2023",Difference
4605464#1,Taniel Chemsian Properties,Mexico,1,07-Jul-26,Below Threshold,SketchUp 2025,Difference
4655074#1,Dcpglobal,Mexico,1,07-Jul-26,Below Threshold,SketchUp 2026,Difference
4608666#1,Andreayluisa,Mexico,2,07-Jul-26,Below Threshold,SketchUp 2025,Difference
4546611#1,Icquba,Mexico,1,07-Jul-26,Below Threshold,SketchUp Pro 2022,Difference
4587656#1,Retecsa,Mexico,1,07-Jul-26,Below Threshold,SketchUp 2024,Difference
4656809#1,Vitalunecuador,Dominican Republic,1,06-Jul-26,Below Threshold,SketchUp 2025,Difference
4333696#1,ECAMI S.A,Nicaragua,2,04-Jul-26,Below Threshold,"SketchUp 2024, SketchUp Pro 2022",Difference
4656383#1,Ixcayau,Guatemala,1,04-Jul-26,Below Threshold,SketchUp Pro 2023,Difference
4656074#1,Estatutoingenieriasrl,Dominican Republic,1,03-Jul-26,Below Threshold,SketchUp Pro 2022,Difference
4656167#1,Ziyaconcept,Costa Rica,1,03-Jul-26,Below Threshold,SketchUp 2025,Difference
4655671#1,Donerighthfs,Dominican Republic,1,01-Jul-26,Below Threshold,SketchUp 2026,Difference
4550251#1,Acoyapa,Nicaragua,1,30-Mar-26,Below Threshold,SketchUp Pro 2021,Difference
4588768#1,Buildertrend,Nicaragua,1,22-Mar-26,Below Threshold,SketchUp Pro 2022,Difference
4615997#1,Florsheimni,Nicaragua,1,17-Mar-26,Below Threshold,SketchUp Pro 2023,Difference
4614275#1,Luzia,Nicaragua,1,16-Mar-26,Below Threshold,SketchUp Pro 2023,Difference
4543899#1,Designgallery,Dominican Republic,1,16-Feb-26,Below Threshold,SketchUp Pro,Difference
4590562#1,Warlab,Dominican Republic,1,15-Feb-26,Below Threshold,SketchUp Pro,Difference
4534381#1,Olaspanama,Panama,1,08-Jan-26,Below Threshold,SketchUp Pro,Difference
4522084#1,Gditgss,Panama,2,31-Dec-25,Aborted (Closed),SketchUp Pro,Difference
4592941#1,Grupoc,Panama,1,28-Dec-25,Aborted (Closed),SketchUp Pro,Difference
4592885#1,Tallerhurtado,Panama,1,27-Dec-25,Aborted (Closed),SketchUp Pro,Difference
4530131#1,Conecsagroup,Panama,1,23-Dec-25,Aborted (Closed),SketchUp Pro,Difference
4545436#1,Gabrielaguilar,Guatemala,1,12-Dec-25,Aborted (Closed),SketchUp Pro,Difference
4533333#1,Baiwaarquitectos,Guatemala,1,10-Dec-25,Aborted (Closed),SketchUp Pro,Difference
4587796#1,Grupogalatas,Guatemala,1,03-Dec-25,Aborted (Closed),SketchUp Pro,Difference
4584023#1,E28,Guatemala,1,29-Nov-25,Aborted (Closed),SketchUp Pro,Difference
4459052#1,Aih,Honduras,1,26-Nov-25,Aborted (Closed),SketchUp Pro,Difference
1911512#1,Cahhn,Honduras,2,21-Nov-25,Aborted (Closed),SketchUp Pro,Difference
4586097#1,23ca0cd1-53f1-4c05-B5de-04b60ea4c15f,Honduras,1,12-Nov-25,Aborted (Closed),SketchUp Pro,Difference
4439543#1,Patsteak,Honduras,1,06-Nov-25,Aborted (Closed),SketchUp Pro,Difference
4532674#1,Cecam,El Salvador,1,23-Jun-25,Aborted (Closed),SketchUp Pro,Difference
4556009#1,293e2264-07f8-4095-8e02-95f81928fa23,El Salvador,1,08-Jun-25,Aborted (Closed),SketchUp Pro,Difference
4555832#1,A9a06482-88a9-47e5-Ba53-D526d4c9c98c,El Salvador,1,02-Jun-25,Aborted (Closed),SketchUp Pro,Difference
4521151#1,Cipreses,El Salvador,1,22-Apr-25,Aborted (Closed),SketchUp Make,Difference
4516591#1,Sinergias,El Salvador,1,31-Mar-25,Aborted (Closed),SketchUp Pro,Difference
3124690#1,Ieeses,El Salvador,2,06-Mar-25,Aborted (Closed),"SketchUp Make, SketchUp Pro",Difference
4505378#1,Vmv,El Salvador,1,25-Feb-25,Aborted (Closed),SketchUp Pro,Difference
4464947#1,Grupocassa,El Salvador,1,24-Feb-25,Aborted (Closed),SketchUp Pro,Difference
4551687#1,Caremax,Dominican Republic,2,12-Feb-26,Below Threshold,SketchUp Pro,Difference
2132064#1,Sintec S.A.,Honduras,2,06-Nov-25,Aborted (Closed),SketchUp Pro,Difference
4561227#1,06d156d1-E174-4a33-80a3-D9829aaa7795,Mexico,1,07-Jul-26,Aborted (Closed),SketchUp Pro 2020,Difference
4536179#1,Nubo Inmuebles,Mexico,1,07-Jul-26,Below Threshold,SketchUp 2025,Difference
