Case ID,Organization Name,Country,No. ofMachines,Last Event,Case Status,Products,Type
1844378#1,Taller Ideark,Mexico,7,14-Jul-26,Aborted (Closed),"SketchUp 2025, SketchUp Pro 2018, SketchUp Pro 2019, SketchUp Pro 2020, SketchUp Pro 2021",Outdated
715784#1,CITROJUGO sa de cv,Mexico,5,14-Jul-26,Aborted (Closed),"SketchUp Make 2017, SketchUp Pro 2017, SketchUp Pro 2018, SketchUp Pro 2020",Outdated
185927#4,Ibc Solutions Peru Sac - Carvajal,Peru,31,14-Jul-26,Unqualified,"SketchUp Make 2016, SketchUp Make 2017, SketchUp Pro 2016, SketchUp Pro 2017, SketchUp Pro 2018, SketchUp Pro 2019, SketchUp Pro 2020, SketchUp Pro 2022, SketchUp Pro 2023",Outdated
4297811#1,Gestion Integral De Proyectos S.A.S.,Argentina,10,14-Jul-26,Unqualified,"SketchUp Make 2017, SketchUp Pro 2017, SketchUp Pro 2018, SketchUp Pro 2019, SketchUp Pro 2020, SketchUp Pro 2021, SketchUp Pro 2022",Outdated
1596785#1,Ddvs,Argentina,20,14-Jul-26,Aborted (Closed),"SketchUp Pro 2017, SketchUp Pro 2018, SketchUp Pro 2019, SketchUp Pro 2020, SketchUp Pro 2021, SketchUp Pro 2022, SketchUp Pro 2023",Outdated
1541884#1,Inesco,Colombia,18,14-Jul-26,Aborted (Closed),"SketchUp Make 2017, SketchUp Pro 2019, SketchUp Pro 2020, SketchUp Pro 2021, SketchUp Pro 2022",Outdated
4432377#1,Itc,Argentina,7,14-Jul-26,Unqualified,"SketchUp Pro 2020, SketchUp Pro 2023",Outdated
1623080#1,029ssservicios,Argentina,36,14-Jul-26,Unqualified,"SketchUp Pro 2017, SketchUp Pro 2018, SketchUp Pro 2019, SketchUp Pro 2020, SketchUp Pro 2021, SketchUp Pro 2022, SketchUp Pro 2023",Outdated
4421076#1,Harbo,Mexico,9,14-Jul-26,Unqualified,"SketchUp 2024, SketchUp 2025, SketchUp Pro 2017, SketchUp Pro 2018, SketchUp Pro 2019, SketchUp Pro 2020, SketchUp Pro 2022, SketchUp Pro 2023",Outdated
4431735#1,It Comunicaciones S.A.S,Colombia,6,14-Jul-26,Unqualified,"SketchUp Pro 2018, SketchUp Pro 2019, SketchUp Pro 2021, SketchUp Pro 2023",Outdated
1912800#1,Ensad,Peru,14,14-Jul-26,Aborted (Closed),"SketchUp 2025, SketchUp Pro 2018, SketchUp Pro 2019, SketchUp Pro 2020, SketchUp Pro 2021, SketchUp Pro 2022, SketchUp Pro 2023",Outdated
