Case ID,Organization Name,Country,No. ofMachines,Last Event,Case Status,Products,Type
4448950#1,Wanchaq,Peru,1,08-Jun-26,Below Threshold,SketchUp Pro 2021,Difference
4536192#1,GRUPO MADEPLAX. República Dominicana,Colombia,2,08-Jun-26,Below Threshold,"SketchUp 2025, SketchUp Pro 2022",Difference
4649786#1,Gedizar,Peru,1,08-Jun-26,Below Threshold,SketchUp Pro 2023,Difference
3052191#1,Colegio Calienes,Peru,5,08-Jun-26,Aborted (Closed),"SketchUp Pro 2017, SketchUp Pro 2020, SketchUp Pro 2021, SketchUp Pro 2022",Difference
4517479#1,Cpfsantamariadejesus,Peru,1,08-Jun-26,Below Threshold,SketchUp Pro 2022,Difference
4638608#1,Hjverde,Mexico,1,08-Jun-26,Below Threshold,SketchUp 2025,Difference
689267#3,Instituto Peruano del Deporte,Peru,14,08-Jun-26,Aborted (Closed),"SketchUp Pro 2017, SketchUp Pro 2018, SketchUp Pro 2019, SketchUp Pro 2020, SketchUp Pro 2022, SketchUp Pro 2023",Difference
4541256#1,Netpr Lim Eu,Peru,4,08-Jun-26,Unqualified,"SketchUp Pro 2020, SketchUp Pro 2021",Difference
4580030#1,Sinicmech,Mexico,2,08-Jun-26,Below Threshold,"SketchUp Pro 2022, SketchUp Pro 2023",Difference
4579329#1,Acerosabad,Peru,1,08-Jun-26,Below Threshold,SketchUp Pro 2022,Difference
4626816#1,R K Engineering Works Lift Manufacturer in Jaipur || Goods Lift in Jaipur Rajasthan || Passenger Elevator,Mexico,3,08-Jun-26,Unqualified,"SketchUp 2025, SketchUp 2026, SketchUp Pro 2021, SketchUp Pro 2023",Difference
446197#5,Universidad Alas Peruanas,Peru,8,08-Jun-26,Aborted (Closed),"SketchUp 2026, SketchUp Pro 2017, SketchUp Pro 2018, SketchUp Pro 2019, SketchUp Pro 2020",Difference
4636352#1,Ponto,Mexico,1,08-Jun-26,Below Threshold,SketchUp 2024,Difference
4646897#1,Leadfluenceagy,Argentina,1,08-Jun-26,Below Threshold,SketchUp Pro 2023,Difference
4409125#1,Coar,Peru,3,08-Jun-26,Aborted (Closed),"SketchUp 2024, SketchUp Pro 2022, SketchUp Pro 2023",Difference
4644856#1,Achuradostudio,Peru,1,08-Jun-26,Below Threshold,"SketchUp 2026, SketchUp Pro 2021",Difference
4614252#1,Hydrexaperu,Peru,1,08-Jun-26,Below Threshold,SketchUp 2025,Difference
4548758#1,Grupoiamsa,Mexico,1,08-Jun-26,Below Threshold,SketchUp 2024,Difference
4605332#1,Buildersmx,Mexico,2,08-Jun-26,Below Threshold,SketchUp 2026,Difference
4649779#1,42b03fe0-B8cf-44e2-80da-57a4138fd2c2,Mexico,1,08-Jun-26,Aborted (Closed),SketchUp 2026,Difference
4643583#1,Spaccesorios,Argentina,1,08-Jun-26,Below Threshold,SketchUp Pro 2023,Difference
3514862#1,Nsconsolacion,Peru,2,08-Jun-26,Aborted (Closed),"SketchUp Pro 2019, SketchUp Pro 2020",Difference
4533645#1,Isabel,Argentina,3,08-Jun-26,Below Threshold,"SketchUp Pro 2022, SketchUp Pro 2023",Difference
4641996#1,Mcchrconsulting,Argentina,1,08-Jun-26,Below Threshold,SketchUp Pro 2023,Difference
4570923#1,Bac,Mexico,1,08-Jun-26,Aborted (Closed),"SketchUp 2025, SketchUp Pro 2020",Difference
4578413#1,Unatienda,Argentina,1,08-Jun-26,Below Threshold,SketchUp Pro 2023,Difference
4514059#1,Mayadetalles,Peru,2,08-Jun-26,Unqualified,"SketchUp Pro 2020, SketchUp Pro 2021, SketchUp Pro 2022, SketchUp Pro 2023",Difference
4578394#1,Elesud,Peru,1,08-Jun-26,Below Threshold,SketchUp 2025,Difference
4536024#1,Dreamer,Mexico,1,08-Jun-26,Below Threshold,SketchUp 2024,Difference
4516319#1,Autonomadeica,Peru,2,08-Jun-26,Aborted (Closed),"SketchUp Pro 2022, SketchUp Pro 2023",Difference
4609740#1,Bajaroots,Mexico,1,08-Jun-26,Below Threshold,SketchUp 2025,Difference
1545400#1,Senace Perú,Peru,4,08-Jun-26,Below Threshold,"SketchUp Pro 2017, SketchUp Pro 2018, SketchUp Pro 2020, SketchUp Pro 2022",Difference
3529952#1,Iecopernico,Peru,3,08-Jun-26,Aborted (Closed),"SketchUp Pro 2020, SketchUp Pro 2021, SketchUp Pro 2022, SketchUp Pro 2023",Difference
4525640#1,Paz,Peru,1,08-Jun-26,Below Threshold,SketchUp Pro 2022,Difference
4620983#1,Profalum,Mexico,1,08-Jun-26,Below Threshold,"SketchUp 2024, SketchUp 2026",Difference
4649785#1,Coloniaexpress,Argentina,1,08-Jun-26,Below Threshold,SketchUp Pro 2023,Difference
4649780#1,Sittca,Colombia,1,08-Jun-26,Below Threshold,SketchUp 2026,Difference
4607890#1,Sophia,Mexico,1,08-Jun-26,Below Threshold,SketchUp 2026,Difference
4649789#1,Maqsa,Chile,1,08-Jun-26,Below Threshold,SketchUp 2025,Difference
4606797#1,Azulik Residences,Mexico,1,08-Jun-26,Below Threshold,SketchUp 2025,Difference
4647330#1,Rueca2025,Mexico,1,08-Jun-26,Below Threshold,SketchUp 2026,Difference
4649649#1,Matkind,Peru,1,08-Jun-26,Below Threshold,SketchUp 2024,Difference
4602157#1,Wattworld,Mexico,2,08-Jun-26,Below Threshold,SketchUp 2025,Difference
4598566#1,Prorenta,Chile,1,08-Jun-26,Below Threshold,SketchUp Pro 2022,Difference
4644929#1,Ixasol,Mexico,1,08-Jun-26,Below Threshold,SketchUp 2025,Difference
4649784#1,Vialterra,Chile,1,08-Jun-26,Below Threshold,SketchUp 2025,Difference
4649814#1,Meprossas,Colombia,1,08-Jun-26,Below Threshold,SketchUp Pro 2022,Difference
4592748#1,Zihuatanejodeazueta,Mexico,3,08-Jun-26,Below Threshold,"SketchUp Pro 2018, SketchUp Pro 2019, SketchUp Pro 2021, SketchUp Pro 2022, SketchUp Pro 2023",Difference
1037404#1,design servicios inmobiliarios eirl,Peru,8,08-Jun-26,Pre-Qualified,"SketchUp 2024, SketchUp Make 2017, SketchUp Pro 2017, SketchUp Pro 2019, SketchUp Pro 2020, SketchUp Pro 2023",Difference
4596937#1,Caromainteriores,Mexico,1,07-Jun-26,Below Threshold,SketchUp 2025,Difference
4547097#1,Pizzahut,Ecuador,1,07-Jun-26,Unqualified,"SketchUp Pro 2021, SketchUp Pro 2022",Difference
4511481#1,Agersa,Peru,1,07-Jun-26,Below Threshold,SketchUp Pro 2022,Difference
4446203#1,Impressiveking,Peru,1,07-Jun-26,Below Threshold,SketchUp Pro 2023,Difference
4572603#1,Foldmv,Colombia,1,07-Jun-26,Unqualified,SketchUp Pro 2022,Difference
4627065#1,Mmaarq,Uruguay,1,07-Jun-26,Below Threshold,SketchUp Pro 2023,Difference
4641917#1,57cea228-6254-4f0c-Aef8-A1a095a7307f,Mexico,1,07-Jun-26,Aborted (Closed),SketchUp Pro 2021,Difference
4639213#1,Minciencia,Chile,1,07-Jun-26,Below Threshold,SketchUp Pro 2023,Difference
4572438#1,Misiones Del Agua Peru,Peru,3,07-Jun-26,Unqualified,"SketchUp Pro 2017, SketchUp Pro 2022",Difference
4649581#1,Fixcomdemexico,Mexico,1,07-Jun-26,Below Threshold,SketchUp 2025,Difference
4649748#1,Bioquifar,Colombia,1,07-Jun-26,Below Threshold,SketchUp 2024,Difference
