Case ID,Organization Name,Country,No. ofMachines,Last Event,Case Status,Products
4528217#1,Alpalux,Peru,5,26-May-26,Unqualified,"SketchUp 2024, SketchUp Pro 2022, SketchUp Pro 2023"
4513294#1,Jioso,Peru,7,26-May-26,Unqualified,"SketchUp Pro 2021, SketchUp Pro 2022, SketchUp Pro 2023"
4475724#1,Craftapk,Peru,3,26-May-26,Unqualified,"SketchUp 2025, SketchUp 2026, SketchUp Pro 2020, SketchUp Pro 2021, SketchUp Pro 2023"
4439555#1,Onlyonecoin,Peru,15,26-May-26,Aborted (Closed),"SketchUp 2025, SketchUp Pro 2021, SketchUp Pro 2022, SketchUp Pro 2023"
1231932#1,Cegne San Antonio De Padua,Peru,3,26-May-26,Aborted (Closed),"SketchUp Pro 2018, SketchUp Pro 2021, SketchUp Pro 2022"
4541259#1,Walnet,Argentina,6,25-May-26,Unqualified,"SketchUp Make 2017, SketchUp Pro 2018, SketchUp Pro 2021"
4575388#1,Inerciaba,Argentina,5,25-May-26,Unqualified,"SketchUp 2025, SketchUp Pro 2023"
4543049#1,Sgmdigigoods,Argentina,3,25-May-26,Unqualified,"SketchUp Pro 2022, SketchUp Pro 2023"
908444#1,Santafe,Argentina,27,24-May-26,Unqualified,"SketchUp 2025, SketchUp Make 2017, SketchUp Pro 2017, SketchUp Pro 2018, SketchUp Pro 2020, SketchUp Pro 2021, SketchUp Pro 2022, SketchUp Pro 2023"
4571015#1,Ceciliademadonna,Argentina,3,24-May-26,Below Threshold,SketchUp Pro 2023
4566588#1,University College of Cundinamarca,Colombia,4,20-May-26,Aborted (Closed),"SketchUp 2025, SketchUp Pro 2023"
4573380#1,Bucaramanga,Colombia,8,20-May-26,Aborted (Closed),"SketchUp 2024, SketchUp 2025, SketchUp 2026, SketchUp Pro 2022, SketchUp Pro 2023"
4595629#1,Servinet Cucuta,Colombia,3,16-May-26,Unqualified,"SketchUp Pro 2018, SketchUp Pro 2020, SketchUp Pro 2022"
4557618#1,Grupo Nacional De Medios,Colombia,4,13-May-26,Below Threshold,"SketchUp Pro 2018, SketchUp Pro 2021, SketchUp Pro 2023"
4596929#1,Hseingenieria Sas,Colombia,5,04-May-26,Below Threshold,"SketchUp Pro 2018, SketchUp Pro 2019, SketchUp Pro 2021"
963751#2,Uab,Bolivia,4,24-Apr-26,Aborted (Closed),"SketchUp Pro 2022, SketchUp Pro 2023"
4546353#1,Soluvial.cl,Chile,3,17-Mar-26,Below Threshold,"SketchUp 2024, SketchUp Pro 2022, SketchUp Pro 2023"
4530869#1,Oitlook,Bolivia,4,10-Mar-26,Below Threshold,"SketchUp 2024, SketchUp Pro 2018, SketchUp Pro 2023"
1584240#3,Totaltek,Ecuador,7,23-Feb-26,Below Threshold,"SketchUp Pro, SketchUp Pro 2018 FALSE"
2986280#1,Stodomingogualaceo,Ecuador,4,31-Jan-26,Aborted (Closed),SketchUp Pro
4588269#1,Gesfinanciera,Chile,3,16-Jan-26,Below Threshold,SketchUp Pro
2007287#1,Corteva Agriscience,Chile,14,09-Jan-26,Aborted (Closed),"SketchUp Make, SketchUp Pro"
1978623#2,Silhouette,Bolivia,9,23-Dec-25,Below Threshold,SketchUp Pro
4436042#1,Uhemisferios,Ecuador,3,06-Sep-25,Aborted (Closed),SketchUp Pro
4463243#1,Tangara,Ecuador,3,26-Jun-25,Aborted (Closed),"SketchUp Pro 2020, SketchUp Pro 2021, SketchUp Pro 2022, SketchUp Pro 2023"
754703#1,Inycom,Ecuador,10,16-May-25,Aborted (Closed),SketchUp Pro
3046489#1,Instituto Nacional de Desarrollo Rural y de la Tierra (INDERT),Paraguay,3,20-Mar-25,Aborted (Closed),SketchUp Pro
