Case ID,Organization Name,Country,No. ofMachines,Last Event,Case Status,Products
798565#1,Diprocisem,Mexico,8,03-Jun-26,Aborted (Closed),"SketchUp Pro 2017, SketchUp Pro 2018, SketchUp Pro 2019, SketchUp Pro 2020, SketchUp Pro 2021"
4541844#1,Impsat Usa-Internet Backbone,Mexico,13,03-Jun-26,Unqualified,"SketchUp 2024, SketchUp 2025, SketchUp 2026, SketchUp Pro 2021, SketchUp Pro 2022"
3888614#1,Todoss,Mexico,6,03-Jun-26,Unqualified,"SketchUp Pro 2019, SketchUp Pro 2020, SketchUp Pro 2021, SketchUp Pro 2022, SketchUp Pro 2023"
2440642#1,Clarac,Mexico,6,03-Jun-26,Aborted (Closed),"SketchUp Pro 2018, SketchUp Pro 2019, SketchUp Pro 2020, SketchUp Pro 2021, SketchUp Pro 2023"
4424453#1,Ulsavictoria,Mexico,4,03-Jun-26,Aborted (Closed),"SketchUp 2024, SketchUp 2025, SketchUp 2026, SketchUp Pro 2021, SketchUp Pro 2023"
4465941#1,Alvarezyalvarez,Mexico,11,03-Jun-26,Unqualified,"SketchUp 2024, SketchUp Pro 2022"
4490644#1,Gproarq,Mexico,5,03-Jun-26,Unqualified,"SketchUp 2025, SketchUp Pro 2020, SketchUp Pro 2023"
4526388#1,Partcommunity,Mexico,3,03-Jun-26,Unqualified,"SketchUp 2025, SketchUp 2026"
4375286#1,Polaritec,Mexico,14,03-Jun-26,Unqualified,"SketchUp 2024, SketchUp 2025, SketchUp 2026, SketchUp Pro 2019, SketchUp Pro 2021, SketchUp Pro 2022, SketchUp Pro 2023"
4407190#1,Extravision Comunicacion Sapi De Cv,Mexico,20,03-Jun-26,Unqualified,"SketchUp 2024, SketchUp 2025, SketchUp Pro 2019, SketchUp Pro 2020, SketchUp Pro 2021, SketchUp Pro 2022, SketchUp Pro 2023"
4407509#1,Lzjinlida,Mexico,5,03-Jun-26,Unqualified,"SketchUp 2024, SketchUp Pro 2021, SketchUp Pro 2022, SketchUp Pro 2023"
4377496#1,Lorenzodemedici,Mexico,8,03-Jun-26,Unqualified,"SketchUp 2024, SketchUp 2025, SketchUp 2026, SketchUp Pro 2022, SketchUp Pro 2023"
4462243#1,Juan Carlos Hernandez Hernandez,Mexico,4,03-Jun-26,Unqualified,"SketchUp 2025, SketchUp Pro 2020, SketchUp Pro 2021, SketchUp Pro 2022"
4516014#1,Sleepyeyeschools,Mexico,13,03-Jun-26,Aborted (Closed),"SketchUp 2024, SketchUp 2025, SketchUp 2026, SketchUp Pro 2021, SketchUp Pro 2022, SketchUp Pro 2023"
454344#1,Cortinaje by Angel Cabrera,Dominican Republic,4,02-Jun-26,Below Threshold,"SketchUp 2025, SketchUp Pro 2017, SketchUp Pro 2020"
4071561#1,Am,Dominican Republic,14,02-Jun-26,Below Threshold,"SketchUp 2024, SketchUp Make 2017, SketchUp Pro 2016, SketchUp Pro 2017, SketchUp Pro 2019, SketchUp Pro 2020, SketchUp Pro 2021, SketchUp Pro 2022"
3397823#1,Grupo Siete Holding Corp,Panama,9,02-Jun-26,Below Threshold,"SketchUp 2025, SketchUp Pro 2017, SketchUp Pro 2018, SketchUp Pro 2019, SketchUp Pro 2020, SketchUp Pro 2021, SketchUp Pro 2023"
1033113#1,Veyco,Guatemala,3,02-Jun-26,Below Threshold,"SketchUp 2025, SketchUp Pro 2018, SketchUp Pro 2019, SketchUp Pro 2020"
4320056#1,Caloglo S.A.,Guatemala,8,02-Jun-26,Below Threshold,"SketchUp Pro 2017, SketchUp Pro 2018, SketchUp Pro 2022, SketchUp Pro 2023"
4297536#1,Asofarma El Sv,Guatemala,5,02-Jun-26,Below Threshold,"SketchUp 2024, SketchUp Pro 2017, SketchUp Pro 2020, SketchUp Pro 2021, SketchUp Pro 2022"
4216035#1,Solrealgroup,Panama,4,02-Jun-26,Below Threshold,"SketchUp 2025, SketchUp 2026, SketchUp Pro 2020, SketchUp Pro 2023"
4429170#1,Uspg,Guatemala,18,02-Jun-26,Aborted (Closed),"SketchUp 2024, SketchUp 2026, SketchUp Pro 2019, SketchUp Pro 2021, SketchUp Pro 2022, SketchUp Pro 2023"
2145664#1,Logos,Dominican Republic,4,02-Jun-26,Aborted (Closed),"SketchUp Pro 2017, SketchUp Pro 2018, SketchUp Pro 2020, SketchUp Pro 2023"
688121#2,"Procore Technologies, Inc.",Guatemala,16,02-Jun-26,Unqualified,"SketchUp 2024, SketchUp 2025, SketchUp Make 2017, SketchUp Pro 2017, SketchUp Pro 2018, SketchUp Pro 2020, SketchUp Pro 2021, SketchUp Pro 2022, SketchUp Pro 2023"
4551058#1,Nava999,Guatemala,18,02-Jun-26,Unqualified,"SketchUp 2024, SketchUp 2025, SketchUp Pro 2017, SketchUp Pro 2021, SketchUp Pro 2022, SketchUp Pro 2023"
569210#3,Inversiones Zahena S. A.,Dominican Republic,7,02-Jun-26,Unqualified,"SketchUp Pro 2020, SketchUp Pro 2021"
929517#1,Greenproserv,Costa Rica,8,02-Jun-26,Unqualified,"SketchUp Pro 2017, SketchUp Pro 2018, SketchUp Pro 2019, SketchUp Pro 2020, SketchUp Pro 2023"
3802131#2,Desarrollo Y Nutricion Animal,Guatemala,9,02-Jun-26,Unqualified,"SketchUp 2025, SketchUp Make 2017, SketchUp Pro 2020, SketchUp Pro 2021, SketchUp Pro 2023"
739491#2,Poder Judicial de Honduras,Honduras,5,02-Jun-26,Unqualified,"SketchUp 2024, SketchUp Pro 2020, SketchUp Pro 2021"
1376356#1,Sat,Guatemala,10,02-Jun-26,Unqualified,"SketchUp 2025, SketchUp Pro 2018, SketchUp Pro 2020, SketchUp Pro 2021, SketchUp Pro 2022, SketchUp Pro 2023"
1548654#1,Duodesignlatam,Panama,8,02-Jun-26,Unqualified,"SketchUp 2024, SketchUp 2025, SketchUp Pro 2017, SketchUp Pro 2022"
4252245#1,Corporacion Salvadorena De Inversiones Corsain,El Salvador,3,02-Jun-26,Unqualified,"SketchUp 2024, SketchUp Pro 2019, SketchUp Pro 2021"
2243817#1,Arquifoamgt,Guatemala,5,02-Jun-26,Unqualified,"SketchUp Pro 2017, SketchUp Pro 2018, SketchUp Pro 2019, SketchUp Pro 2021, SketchUp Pro 2022"
765332#2,CEDES Don Bosco,Costa Rica,20,02-Jun-26,Below Threshold,"SketchUp Make 2017, SketchUp Pro 2017, SketchUp Pro 2018, SketchUp Pro 2019, SketchUp Pro 2020, SketchUp Pro 2021, SketchUp Pro 2022"
4507484#1,Foodtrucksdemexico,Panama,4,02-Jun-26,Unqualified,"SketchUp Pro 2022, SketchUp Pro 2023"
978199#2,USL Championship,Costa Rica,5,02-Jun-26,Aborted (Closed),"SketchUp 2026, SketchUp Pro 2019, SketchUp Pro 2020, SketchUp Pro 2021"
665151#3,International,Guatemala,14,02-Jun-26,Unqualified,"SketchUp 2024, SketchUp 2025, SketchUp Pro 2017, SketchUp Pro 2019, SketchUp Pro 2021, SketchUp Pro 2022, SketchUp Pro 2023"
3436998#1,Dilegno,Dominican Republic,4,02-Jun-26,Unqualified,"SketchUp 2026, SketchUp Pro 2018, SketchUp Pro 2022, SketchUp Pro 2023"
4383683#1,Camaracomercioexterior,Costa Rica,6,02-Jun-26,Aborted (Closed),"SketchUp Pro 2021, SketchUp Pro 2022, SketchUp Pro 2023"
4528149#1,Msj,Costa Rica,4,02-Jun-26,Below Threshold,"SketchUp 2025, SketchUp Pro 2019, SketchUp Pro 2022, SketchUp Pro 2023"
4390615#1,Cohenarchitecture,Panama,3,01-Jun-26,Unqualified,SketchUp Pro 2023
3402597#1,Prepanama,Panama,3,01-Jun-26,Below Threshold,"SketchUp 2025, SketchUp Pro 2017, SketchUp Pro 2019, SketchUp Pro 2020"
1451853#2,SCH Consultoría y Construcción,Costa Rica,4,01-Jun-26,Below Threshold,"SketchUp 2025, SketchUp 2026, SketchUp Pro 2018, SketchUp Pro 2019, SketchUp Pro 2021"
4423253#1,Copaair,Panama,4,01-Jun-26,Below Threshold,"SketchUp Pro 2019, SketchUp Pro 2022, SketchUp Pro 2023"
2475237#1,PREFACERO,El Salvador,3,01-Jun-26,Below Threshold,"SketchUp 2025, SketchUp Pro 2018, SketchUp Pro 2019, SketchUp Pro 2021"
686797#2,Inversiones Urbanas Del Oeste S.A.,Panama,3,01-Jun-26,Below Threshold,"SketchUp 2024, SketchUp Pro 2018, SketchUp Pro 2022"
4515528#1,Pulsoarquitectura,Dominican Republic,3,01-Jun-26,Unqualified,SketchUp Pro 2023
2486019#1,Caviesa,Dominican Republic,17,01-Jun-26,Unqualified,"SketchUp Make 2017, SketchUp Pro 2017, SketchUp Pro 2019, SketchUp Pro 2020, SketchUp Pro 2021, SketchUp Pro 2022"
2129324#1,Concorda10,El Salvador,7,01-Jun-26,Unqualified,"SketchUp 2024, SketchUp 2025, SketchUp Pro 2018, SketchUp Pro 2020, SketchUp Pro 2021, SketchUp Pro 2023"
4405275#1,Masconstructora,Costa Rica,5,01-Jun-26,Unqualified,"SketchUp 2024, SketchUp 2025, SketchUp Pro 2022, SketchUp Pro 2023"
4325964#1,Mabrd,Dominican Republic,3,01-Jun-26,Unqualified,"SketchUp Pro 2022, SketchUp Pro 2023"
4334064#1,Elmntosarquitectura,Dominican Republic,7,01-Jun-26,Unqualified,"SketchUp 2024, SketchUp Pro 2020, SketchUp Pro 2021, SketchUp Pro 2022, SketchUp Pro 2023"
705087#1,Crometal,Costa Rica,11,01-Jun-26,Unqualified,"SketchUp Pro 2017, SketchUp Pro 2018, SketchUp Pro 2019, SketchUp Pro 2021"
1614227#1,Unad,Dominican Republic,12,01-Jun-26,Aborted (Closed),"SketchUp Pro 2017, SketchUp Pro 2018, SketchUp Pro 2019, SketchUp Pro 2020, SketchUp Pro 2021, SketchUp Pro 2022, SketchUp Pro 2023"
593940#1,Cb2arq,Costa Rica,7,01-Jun-26,Unqualified,"SketchUp Make 2017, SketchUp Pro 2017, SketchUp Pro 2019, SketchUp Pro 2020, SketchUp Pro 2021, SketchUp Pro 2023"
970488#1,Arquiterracr,Costa Rica,5,01-Jun-26,Unqualified,"SketchUp 2024, SketchUp 2026, SketchUp Pro 2018, SketchUp Pro 2019, SketchUp Pro 2020, SketchUp Pro 2022"
738782#1,Formica,Panama,14,01-Jun-26,Unqualified,"SketchUp 2026, SketchUp Pro 2017, SketchUp Pro 2018, SketchUp Pro 2019, SketchUp Pro 2020, SketchUp Pro 2021, SketchUp Pro 2022, SketchUp Pro 2023"
4380188#1,Ricardo Evelio Franconi Melendez,El Salvador,3,31-May-26,Unqualified,"SketchUp Pro 2022, SketchUp Pro 2023"
299827#1,Banco General,Panama,15,30-May-26,Aborted (Closed),"SketchUp Make 2017, SketchUp Pro 2016, SketchUp Pro 2017, SketchUp Pro 2018, SketchUp Pro 2019, SketchUp Pro 2020, SketchUp Pro 2021, SketchUp Pro 2023"
1095601#1,Holk,El Salvador,15,30-May-26,Unqualified,"SketchUp Make 2017, SketchUp Pro 2017, SketchUp Pro 2018, SketchUp Pro 2019, SketchUp Pro 2020, SketchUp Pro 2021, SketchUp Pro 2022"
4325958#1,Confia,El Salvador,5,30-May-26,Below Threshold,"SketchUp Pro 2017, SketchUp Pro 2022, SketchUp Pro 2023"
609318#1,Escuela Alemana,El Salvador,5,30-May-26,Aborted (Closed),"SketchUp Pro 2017, SketchUp Pro 2018, SketchUp Pro 2019, SketchUp Pro 2020, SketchUp Pro 2021"
4411301#1,Airtechsolutionsinc,El Salvador,3,30-May-26,Below Threshold,"SketchUp 2025, SketchUp Pro 2020, SketchUp Pro 2023"
4210695#1,Prefinsa,El Salvador,3,30-May-26,Below Threshold,"SketchUp 2025, SketchUp Pro 2021"
963319#1,Inurba,El Salvador,12,30-May-26,Below Threshold,"SketchUp Make 2017, SketchUp Pro 2017, SketchUp Pro 2018, SketchUp Pro 2019, SketchUp Pro 2020, SketchUp Pro 2021, SketchUp Pro 2022"
1914774#1,Lparoatan,Honduras,3,29-May-26,Unqualified,"SketchUp 2024, SketchUp 2025, SketchUp Pro 2017, SketchUp Pro 2019, SketchUp Pro 2020, SketchUp Pro 2022"
