Case ID,Organization Name,Country,No. ofMachines,Last Event,Case Status,Products,Type
4645926#1,Tpwaha,Argentina,1,01-Jul-26,Below Threshold,SketchUp Pro 2023,Difference
4655476#1,Cidere,Chile,1,01-Jul-26,Below Threshold,SketchUp 2026,Difference
4655305#1,Itep,Peru,1,01-Jul-26,Aborted (Closed),"SketchUp Pro 2020, SketchUp Pro 2023",Difference
4655478#1,Chirresac,Peru,1,01-Jul-26,Below Threshold,SketchUp 2025,Difference
4638188#1,Constructoraita,Bolivia,1,01-Jul-26,Below Threshold,SketchUp Pro 2023,Difference
4595285#1,Mejores,Argentina,1,01-Jul-26,Below Threshold,SketchUp Pro 2023,Difference
4579423#1,Copyeventos,Colombia,1,01-Jul-26,Below Threshold,SketchUp Pro 2022,Difference
4570236#1,Monsee,Bolivia,1,01-Jul-26,Unqualified,"SketchUp Pro 2019, SketchUp Pro 2022",Difference
4566829#1,Nse,Peru,1,01-Jul-26,Aborted (Closed),"SketchUp 2025, SketchUp 2026, SketchUp Pro 2022",Difference
4549149#1,Los De Marketing Agencia Digital,Colombia,1,01-Jul-26,Below Threshold,SketchUp Pro 2023,Difference
4499340#1,Dipecla,Peru,1,01-Jul-26,Below Threshold,SketchUp Pro 2022,Difference
4509569#1,Eastlakedesigngroupllc,Peru,1,01-Jul-26,Below Threshold,SketchUp Pro 2022,Difference
4473213#1,Erick,Peru,1,01-Jul-26,Below Threshold,SketchUp Pro 2023,Difference
4584048#1,Billuyo,Colombia,1,01-Jul-26,Below Threshold,SketchUp Pro 2022,Difference
4631012#1,Iedlaunion,Colombia,1,01-Jul-26,Aborted (Closed),SketchUp Pro 2023,Difference
4599066#1,FASE - Ferretería y materiales eléctricos,Argentina,1,01-Jul-26,Below Threshold,SketchUp Pro 2023,Difference
4588181#1,Confiperu,Peru,1,01-Jul-26,Unqualified,SketchUp Pro 2020,Difference
4455678#1,Luflox,Peru,1,01-Jul-26,Below Threshold,"SketchUp Pro 2021, SketchUp Pro 2022",Difference
4595399#1,Dsg,Chile,1,30-Jun-26,Below Threshold,SketchUp 2024,Difference
4644883#1,Meyerscholle,Chile,1,30-Jun-26,Below Threshold,SketchUp Pro 2023,Difference
4545056#1,Scarpellinimuebles,Paraguay,1,30-Jun-26,Unqualified,"SketchUp 2024, SketchUp Pro 2021",Difference
4552133#1,Delapaz,Bolivia,2,30-Jun-26,Below Threshold,"SketchUp 2025, SketchUp 2026",Difference
4542549#1,Caguila,Peru,1,30-Jun-26,Below Threshold,"SketchUp Pro 2020, SketchUp Pro 2023",Difference
4580999#1,Pastosaludese,Colombia,1,30-Jun-26,Below Threshold,SketchUp Pro 2023,Difference
4606323#1,Baarp,Colombia,1,30-Jun-26,Unqualified,SketchUp Pro 2022,Difference
4609854#1,Noahdanielstudio,Argentina,1,30-Jun-26,Below Threshold,SketchUp Pro 2023,Difference
4644104#1,Trasoarq,Argentina,1,30-Jun-26,Below Threshold,SketchUp Pro 2023,Difference
4641331#1,Aquituremodelacion,Colombia,1,30-Jun-26,Below Threshold,SketchUp 2026,Difference
4648246#1,Stmlubricantes,Colombia,1,30-Jun-26,Below Threshold,SketchUp 2025,Difference
4638175#1,Trimarquitectura,Argentina,1,30-Jun-26,Below Threshold,SketchUp Pro 2023,Difference
4635124#1,Nomaddesign,Peru,1,30-Jun-26,Below Threshold,SketchUp 2026,Difference
4646620#1,Xonet Automacion SRL,Argentina,1,30-Jun-26,Below Threshold,SketchUp Pro 2023,Difference
4640764#1,Gastrobsas,Argentina,2,30-Jun-26,Below Threshold,SketchUp Pro 2022,Difference
4651825#1,Moduloaurea,Ecuador,1,30-Jun-26,Below Threshold,SketchUp 2026,Difference
4651800#1,Kravify,Argentina,1,30-Jun-26,Below Threshold,SketchUp 2025,Difference
4644927#1,Bookiks,Colombia,1,30-Jun-26,Below Threshold,SketchUp 2025,Difference
4655373#1,Vgestudio,Argentina,1,30-Jun-26,Below Threshold,SketchUp Pro 2023,Difference
4651586#1,Eservinco,Ecuador,1,30-Jun-26,Below Threshold,SketchUp 2025,Difference
