Case ID,Organization Name,Country,No. ofMachines,Last Event,Case Status,Products
582377#1,Newcity Residencial,Mexico,9,03-Jun-26,Aborted (Closed),"SketchUp Pro 2017, SketchUp Pro 2018, SketchUp Pro 2019, SketchUp Pro 2020, SketchUp Pro 2021"
891504#6,Inversiones Apolo,Honduras,31,03-Jun-26,Unqualified,"SketchUp Pro 2016, SketchUp Pro 2017, SketchUp Pro 2018, SketchUp Pro 2019, SketchUp Pro 2020, SketchUp Pro 2021, SketchUp Pro 2022"
4519736#1,Veritasium,Guatemala,21,03-Jun-26,Unqualified,"SketchUp 2024, SketchUp 2025, SketchUp 2026, SketchUp Pro 2018, SketchUp Pro 2022, SketchUp Pro 2023"
4368626#1,Barcadiscos,Costa Rica,11,03-Jun-26,Unqualified,"SketchUp 2025, SketchUp Pro 2022, SketchUp Pro 2023"
1070011#1,ppmq,Mexico,3,03-Jun-26,Below Threshold,"SketchUp 2026, SketchUp Pro 2017, SketchUp Pro 2020, SketchUp Pro 2022"
554162#2,Univo,El Salvador,48,03-Jun-26,Aborted (Closed),"SketchUp 2024, SketchUp 2025, SketchUp 2026, SketchUp Pro 2017, SketchUp Pro 2018, SketchUp Pro 2019, SketchUp Pro 2020, SketchUp Pro 2021, SketchUp Pro 2022, SketchUp Pro 2023"
4564361#1,Suzuki,Mexico,21,03-Jun-26,Unqualified,"SketchUp 2024, SketchUp 2025, SketchUp 2026, SketchUp Pro 2022, SketchUp Pro 2023"
4540750#1,Internet Superflash,Mexico,43,03-Jun-26,Unqualified,"SketchUp 2024, SketchUp 2025, SketchUp Make 2017, SketchUp Pro 2018, SketchUp Pro 2020, SketchUp Pro 2021, SketchUp Pro 2022, SketchUp Pro 2023"
1744348#1,Edson Simeon,Guatemala,11,03-Jun-26,Unqualified,"SketchUp 2024, SketchUp 2025, SketchUp 2026, SketchUp Pro 2017, SketchUp Pro 2019, SketchUp Pro 2020, SketchUp Pro 2022, SketchUp Pro 2023"
4427744#1,Off365,Nicaragua,10,03-Jun-26,Unqualified,"SketchUp 2024, SketchUp 2025, SketchUp Pro 2022, SketchUp Pro 2023"
