Case ID,Organization Name,Country,No. ofMachines,Last Event,Case Status,Products,Type
1911987#1,Novopan Peru SAC,Peru,70,16-Jun-26,Unqualified,"SketchUp 2024, SketchUp 2025, SketchUp 2026, SketchUp Pro 2017, SketchUp Pro 2018, SketchUp Pro 2019, SketchUp Pro 2020, SketchUp Pro 2021, SketchUp Pro 2022, SketchUp Pro 2023",Outdated
1797375#1,You Arq,Argentina,7,16-Jun-26,Unqualified,"SketchUp Make 2017, SketchUp Pro 2018, SketchUp Pro 2019, SketchUp Pro 2020, SketchUp Pro 2021, SketchUp Pro 2022, SketchUp Pro 2023",Outdated
854132#2,Tes,Ecuador,16,16-Jun-26,Aborted (Closed),"SketchUp 2024, SketchUp 2025, SketchUp Make 2017, SketchUp Pro 2017, SketchUp Pro 2018, SketchUp Pro 2019, SketchUp Pro 2021, SketchUp Pro 2022",Outdated
2473798#1,Coop. Ganadera Y Agricola De Consumo Portena Lda.,Argentina,42,16-Jun-26,Unqualified,"SketchUp 2025, SketchUp Make 2017, SketchUp Pro 2017, SketchUp Pro 2018, SketchUp Pro 2019, SketchUp Pro 2020, SketchUp Pro 2021, SketchUp Pro 2022, SketchUp Pro 2023",Outdated
3358456#1,Cooperativa De Electricidad De Zarate,Argentina,19,16-Jun-26,Unqualified,"SketchUp Pro 2017, SketchUp Pro 2019, SketchUp Pro 2020, SketchUp Pro 2021, SketchUp Pro 2022, SketchUp Pro 2023",Outdated
689216#2,Regionica,Peru,5,16-Jun-26,Unqualified,"SketchUp Pro 2019, SketchUp Pro 2021, SketchUp Pro 2023",Outdated
1076631#1,PC Factory,Chile,74,15-Jun-26,Aborted (Closed),"SketchUp 2025, SketchUp Make 2016, SketchUp Make 2017, SketchUp Pro 2017, SketchUp Pro 2018, SketchUp Pro 2019, SketchUp Pro 2020, SketchUp Pro 2021, SketchUp Pro 2022, SketchUp Pro 2023",Outdated
907513#1,Oner,Argentina,50,15-Jun-26,Aborted (Closed),"SketchUp 2024, SketchUp 2025, SketchUp 2026, SketchUp Pro 2018, SketchUp Pro 2020, SketchUp Pro 2021, SketchUp Pro 2022, SketchUp Pro 2023",Outdated
1832807#2,Balesia,Ecuador,3,15-Jun-26,Below Threshold,"SketchUp Pro 2019, SketchUp Pro 2020, SketchUp Pro 2021, SketchUp Pro 2022",Outdated
1190868#1,Snpp,Paraguay,8,15-Jun-26,Aborted (Closed),"SketchUp Pro 2018, SketchUp Pro 2021",Outdated
