Case ID,External Case ID,Tags,Name,Organization,Entity,# Total Machines,# Recent Machines,# Approved Machines,First Event,Last Event,Case Tier,Case Investigators,Investigation Status,Data Score,Website,Industry,Actionable Domain,Region,Country,Source Status,Automation Status,Investigation Status Last Updated At,Created,Updated,custom_fields.NNS Potential,custom_fields.NNS_Potential
8668927,1001383#1,"Mexico, LATAM",INADEM,INADEM,,4,4,0,2018-02-21 09:52 PM ,2023-12-26 09:03 PM ,2,,,14,,,,,,,APPROVABLE,,2025-06-02 04:14 PM ,2026-03-15 08:39 PM ,,
826720,1002345#1,"Brazil, Mexico, LATAM",Rolando Ramos Peart,Rolando Ramos Peart,,4,4,0,2017-11-11 06:46 PM ,2023-06-28 04:33 PM ,1,,,19,,,,,,,APPROVABLE,,2023-07-05 04:08 PM ,2026-03-15 08:41 PM ,,
8646028,1002843#1,"Mexico, LATAM",Oiko,Oiko,,4,4,0,2017-06-09 11:22 PM ,2023-01-08 06:53 PM ,2,,,16,,,,,,,APPROVABLE,,2025-06-02 08:25 AM ,2026-03-15 08:41 PM ,,
810711,1003347#1,"Mexico, LATAM",Odpractice,Odpractice,,5,5,0,2018-12-07 12:02 AM ,2023-06-02 02:34 AM ,2,,,14,,,,,,,APPROVABLE,,2023-07-05 04:08 PM ,2026-03-15 08:42 PM ,,
8645318,1003676#1,"Mexico, LATAM",Universidad Juárez Autónoma de Tabasco,Universidad Juárez Autónoma de Tabasco,,3,3,0,2017-11-10 08:31 PM ,2023-08-08 03:04 PM ,1,,,15,,,,,,,APPROVABLE,,2025-06-02 08:16 AM ,2026-03-15 08:42 PM ,,
4042991,1004188#1,"Mexico, LATAM",Luis Emilio Ramirez Canel,Luis Emilio Ramirez Canel,,3,3,0,2018-04-17 07:22 PM ,2023-06-27 10:47 PM ,2,,,12,,,,,,,APPROVABLE,,2024-04-25 07:55 PM ,2026-03-15 08:44 PM ,,
8638996,1006125#1,"Mexico, LATAM",MANERO arquitectura inventiva,MANERO arquitectura inventiva,,4,4,0,2018-05-15 03:00 PM ,2023-02-22 07:51 PM ,2,,,8,,,,,,,APPROVABLE,,2025-06-02 07:00 AM ,2026-03-15 08:48 PM ,,
4044564,1006439#1,"Mexico, LATAM",Cota Estevez Arquitectura,Cota Estevez Arquitectura,,4,4,0,2017-11-10 02:21 AM ,2023-10-30 08:10 PM ,1,,,19,,,,,,,APPROVABLE,,2024-04-25 08:08 PM ,2026-03-15 08:48 PM ,,
825337,1008507#1,"Brazil, Mexico, LATAM",Levare,Levare,,3,3,0,2018-06-05 11:28 PM ,2023-08-22 03:56 AM ,2,,,12,,,,,,,APPROVABLE,,2023-07-05 04:08 PM ,2026-03-15 08:53 PM ,,
4043530,1009889#1,"Mexico, LATAM",Bocanada Studio,Bocanada Studio,,4,4,0,2017-11-13 12:53 AM ,2023-08-29 09:54 PM ,2,,,14,,,,,,,APPROVABLE,,2024-04-25 07:59 PM ,2026-03-15 08:55 PM ,,
4063506,1024182#1,"Mexico, LATAM",Bancoppel,Bancoppel,,6,6,0,2018-08-15 02:26 AM ,2023-11-10 08:38 PM ,1,,,26,,,,,,,APPROVABLE,,2024-04-25 10:36 PM ,2026-03-15 09:00 PM ,,
8640272,1024942#1,"Mexico, LATAM",RS Arquitectos,RS Arquitectos,,5,5,0,2018-07-25 03:19 PM ,2023-03-24 05:30 PM ,2,,,16,,,,,,,APPROVABLE,,2025-06-02 07:16 AM ,2026-03-15 09:01 PM ,,
4042885,1025398#1,"Mexico, LATAM",Modec mobiliario y arquitectura,Modec mobiliario y arquitectura,,3,3,0,2018-08-08 06:31 PM ,2023-04-13 05:04 PM ,1,,,15,,,,,,,APPROVABLE,,2024-04-25 07:54 PM ,2026-03-15 09:01 PM ,,
4044311,1027828#1,"Mexico, LATAM",Casaplanofacil,Casaplanofacil,,3,3,0,2018-02-21 09:07 PM ,2023-10-11 05:30 PM ,2,,,12,,,,,,,APPROVABLE,,2024-04-25 08:06 PM ,2026-03-15 09:03 PM ,,
7558280,1028910#1,"Mexico, LATAM, EDU",Institutomonteverdi,Institutomonteverdi,,5,5,0,2018-02-20 01:03 PM ,2025-04-18 01:42 AM ,2,,,10,,,,,,,APPROVABLE,,2025-04-03 10:55 PM ,2026-03-15 09:05 PM ,,
8646557,1028222#1,"Mexico, LATAM",Gracias,Gracias,,3,3,0,2018-03-01 01:48 AM ,2023-01-20 04:48 PM ,2,,,12,,,,,,,APPROVABLE,,2025-06-02 08:31 AM ,2026-03-15 09:05 PM ,,
4044528,1029898#1,"Mexico, LATAM",Marmi St Angelo,Marmi St Angelo,,6,6,0,2018-06-07 10:18 PM ,2023-04-30 11:27 PM ,2,,,24,,,,,,,APPROVABLE,,2024-04-25 08:07 PM ,2026-03-15 09:06 PM ,,
7804539,1032672#1,"Mexico, LATAM",Bahía de Conceptos,Bahía de Conceptos,,8,8,0,2018-03-10 08:16 PM ,2023-02-20 01:38 AM ,2,,,28,,,,,,,APPROVABLE,,2025-04-29 10:57 PM ,2026-03-15 09:09 PM ,,
4791471,1034881#1,"Mexico, LATAM",Urban City Designs,Urban City Designs,,8,8,0,2018-03-09 05:04 AM ,2023-06-01 02:33 AM ,2,,,28,,,,,,,APPROVABLE,,2024-06-01 03:22 AM ,2026-03-15 09:10 PM ,,
8644276,1036849#1,"Mexico, LATAM",Instituto Mexicano de Ingeniería de Costos IMIC,Instituto Mexicano de Ingeniería de Costos IMIC,,8,8,0,2018-04-18 01:59 PM ,2023-07-17 05:27 PM ,2,,,30,,,,,,,APPROVABLE,,2025-06-02 08:03 AM ,2026-03-15 09:12 PM ,,
8643919,1039587#1,"Mexico, LATAM",Cefi,Cefi,,4,4,0,2018-08-09 03:15 AM ,2023-07-10 05:42 PM ,2,,,12,,,,,,,APPROVABLE,,2025-06-02 07:59 AM ,2026-03-15 09:16 PM ,,
8640235,1039599#1,"Mexico, LATAM",Imprerapid Arte Impresa,Imprerapid Arte Impresa,,3,3,0,2018-08-06 05:53 PM ,2023-03-23 06:16 PM ,1,,,14,,,,,,,APPROVABLE,,2025-06-02 07:15 AM ,2026-03-15 09:16 PM ,,
4042851,1040566#1,"Mexico, LATAM",Bee Mexico,Bee Mexico,,3,3,0,2018-04-23 07:37 PM ,2023-07-26 04:41 PM ,3,,,6,,,,,,,APPROVABLE,,2024-04-25 07:53 PM ,2026-03-15 09:17 PM ,,
8644089,1040565#1,"Mexico, LATAM",Centro de Formación Escolar Banting,Centro de Formación Escolar Banting,,3,3,0,2018-04-23 06:30 AM ,2023-07-14 11:11 PM ,2,,,6,,,,,,,APPROVABLE,,2025-06-02 08:01 AM ,2026-03-15 09:17 PM ,,
4043742,1042446#1,"Mexico, LATAM",Ideasociados,Ideasociados,,3,3,0,2018-04-30 05:05 PM ,2023-09-05 11:24 PM ,2,,,8,,,,,,,APPROVABLE,,2024-04-25 08:01 PM ,2026-03-15 09:18 PM ,,
4043056,1041810#1,"Mexico, LATAM",Origen Central,Origen Central,,3,3,0,2018-05-31 10:44 PM ,2023-06-07 12:43 AM ,1,,,15,,,,,,,APPROVABLE,,2024-04-25 07:55 PM ,2026-03-15 09:18 PM ,,
4044840,1042333#1,"Mexico, LATAM",Opercan,Opercan,,5,5,0,2018-02-22 02:18 AM ,2023-04-18 03:01 PM ,2,,,18,,,,,,,APPROVABLE,,2024-04-25 08:10 PM ,2026-03-15 09:18 PM ,,
8646744,1044290#1,"Mexico, LATAM",TADI,TADI,,3,3,0,2018-05-16 12:05 AM ,2023-01-27 09:29 PM ,2,,,12,,,,,,,APPROVABLE,,2025-06-02 08:33 AM ,2026-03-15 09:20 PM ,,
4042447,1057391#2,"Mexico, LATAM",Pegapo,Pegapo,,3,3,0,2019-10-18 05:01 AM ,2023-04-25 03:39 AM ,2,,,12,,,,,,,APPROVABLE,,2024-04-25 07:49 PM ,2026-03-15 09:24 PM ,,
7546651,1058311#3,"Mexico, LATAM, EDU",CECyTE Morelos,CECyTE Morelos,,5,5,0,2020-09-14 09:22 PM ,2025-05-16 08:55 PM ,2,,,12,,,,,,,APPROVABLE,,2025-04-03 05:05 PM ,2026-03-15 09:24 PM ,,
830768,1058848#2,"Brazil, Mexico, LATAM",Universidad Juárez del Estado de Durango,Universidad Juárez del Estado de Durango,,38,38,0,2018-08-08 04:34 PM ,2025-05-27 04:51 PM ,1,,,146,,,,,,,APPROVABLE,,2023-07-05 04:08 PM ,2026-03-15 09:25 PM ,,
