Case ID,External Case ID,Tags,Name,Organization,Entity,# Total Machines,# Recent Machines,# Approved Machines,First Event,Last Event,Case Tier,Case Investigators,Investigation Status,Data Score,Website,Industry,Actionable Domain,Region,Country,Source Status,Automation Status,Investigation Status Last Updated At,Created,Updated,custom_fields.NNS Potential,custom_fields.NNS_Potential
8898013,999899#1,"LATAM, El Salvador",Robertooceanoinversiones,Robertooceanoinversiones,,3,3,0,2018-02-02 03:49 PM ,2023-01-05 09:15 PM ,2,,,12,,,,,,,APPROVABLE,,2025-06-07 08:10 PM ,2026-03-17 07:38 AM ,,
6763925,994070#1,"LATAM, Guatemala",ASISCON SA,ASISCON SA,,3,3,0,2018-02-03 04:34 PM ,2023-09-13 10:01 PM ,2,,,10,,,,,,,APPROVABLE,,2024-12-17 08:54 PM ,2026-03-17 07:33 AM ,,
8898976,988667#1,"LATAM, Guatemala",Mylsa Sociedad Para La Educacion S.A.,Mylsa Sociedad Para La Educacion S.A.,,4,4,0,2018-08-03 06:35 PM ,2023-10-09 03:48 PM ,1,,,16,,,,,,,APPROVABLE,,2025-06-07 08:21 PM ,2026-03-17 07:30 AM ,,
8899909,977903#2,"LATAM, Panama",Ministerio De La Presidencia,Ministerio De La Presidencia,,4,4,0,2019-09-05 01:01 PM ,2023-04-19 02:41 PM ,1,,,19,,,,,,,APPROVABLE,,2025-06-07 08:32 PM ,2026-03-17 07:28 AM ,,
6784672,965954#1,"LATAM, Costa Rica",Artkasdesign,Artkasdesign,,3,3,0,2018-05-19 05:53 AM ,2023-12-03 07:01 PM ,2,,,12,,,,,,,APPROVABLE,,2024-12-19 04:19 PM ,2026-03-17 07:22 AM ,,
8807857,965955#1,"LATAM, Costa Rica",Termo Aire,Termo Aire,,8,8,0,2018-02-24 09:29 PM ,2023-06-22 02:44 AM ,2,,,30,,,,,,,APPROVABLE,,2025-06-04 03:59 PM ,2026-03-17 07:22 AM ,,
4484530,962024#1,"LATAM, Dominican Republic",Zagirova Design,Zagirova Design,,3,3,0,2018-02-23 07:35 PM ,2023-12-20 04:59 AM ,2,,,12,,,,,,,APPROVABLE,,2024-05-14 05:37 PM ,2026-03-17 07:21 AM ,,
6783912,959435#1,"LATAM, Nicaragua","Bello Horizonte , Iglesia pio X","Bello Horizonte , Iglesia pio X",,4,4,0,2018-04-17 02:11 PM ,2023-09-27 11:36 AM ,2,,,6,,,,,,,APPROVABLE,,2024-12-19 03:37 PM ,2026-03-17 07:18 AM ,,
8900614,955301#1,"LATAM, El Salvador",Educorpsv,Educorpsv,,10,10,0,2018-01-11 08:26 PM ,2023-05-26 02:13 PM ,2,,,22,,,,,,,APPROVABLE,,2025-06-07 08:40 PM ,2026-03-17 07:15 AM ,,
6763897,955313#1,"LATAM, Belize",Penny Whitlock,Penny Whitlock,,6,6,0,2018-02-22 10:37 PM ,2024-08-29 09:37 PM ,2,,,22,,,,,,,APPROVABLE,,2024-12-17 08:53 PM ,2026-03-17 07:15 AM ,,
4485430,952046#1,"LATAM, Panama",Secretaria Nacional De Discapacidad,Secretaria Nacional De Discapacidad,,3,3,0,2018-07-11 12:30 PM ,2023-07-11 04:33 PM ,1,,,9,,,,,,,APPROVABLE,,2024-05-14 05:50 PM ,2026-03-17 07:13 AM ,,
8807795,947640#1,"LATAM, Costa Rica",REFRI-AIRE S.A.,REFRI-AIRE S.A.,,6,6,0,2018-05-12 12:37 AM ,2023-05-29 12:42 PM ,1,,,26,,,,,,,APPROVABLE,,2025-06-04 03:58 PM ,2026-03-17 07:10 AM ,,
4484899,927846#1,"LATAM, Dominican Republic",ProBranding,ProBranding,,5,5,0,2018-03-22 10:09 PM ,2023-11-24 11:55 AM ,2,,,20,,,,,,,APPROVABLE,,2024-05-14 05:42 PM ,2026-03-17 06:59 AM ,,
8807583,924319#1,"LATAM, Costa Rica",Agilityfeat Inc,Agilityfeat Inc,,3,3,0,2016-10-25 09:50 PM ,2023-04-07 01:05 AM ,2,,,8,,,,,,,APPROVABLE,,2025-06-04 03:55 PM ,2026-03-17 06:55 AM ,,
6764189,919949#1,"LATAM, Guatemala",Galeria Viterra,Galeria Viterra,,4,4,0,2016-10-28 04:01 PM ,2023-11-28 06:29 PM ,1,,,11,,,,,,,APPROVABLE,,2024-12-17 08:57 PM ,2026-03-17 06:51 AM ,,
8900143,918931#1,"LATAM, Guatemala",SUR Desarrollos,SUR Desarrollos,,8,8,0,2017-04-23 08:02 AM ,2023-05-02 09:11 PM ,2,,,28,,,,,,,APPROVABLE,,2025-06-07 08:35 PM ,2026-03-17 06:51 AM ,,
8808125,913286#1,"LATAM, Costa Rica",Gia,Gia,,3,3,0,2017-05-16 07:55 PM ,2023-08-31 07:50 PM ,2,,,8,,,,,,,APPROVABLE,,2025-06-04 04:05 PM ,2026-03-17 06:49 AM ,,
6763915,908852#1,"LATAM, Belize",Social Security Board Belize,Social Security Board Belize,,5,5,0,2018-05-28 02:52 PM ,2025-04-21 07:28 PM ,1,,,17,,,,,,,APPROVABLE,,2024-12-17 08:53 PM ,2026-03-17 06:48 AM ,,
8899021,905188#1,"LATAM, Guatemala",Grupomp,Grupomp,,3,3,0,2017-07-14 06:23 PM ,2023-10-10 02:27 PM ,1,,,10,,,,,,,APPROVABLE,,2025-06-07 08:22 PM ,2026-03-17 06:47 AM ,,
