Case ID,External Case ID,Tags,Name,Organization,Entity,# Total Machines,# Recent Machines,# Approved Machines,First Event,Last Event,Case Tier,Case Investigators,Investigation Status,Data Score,Website,Industry,Actionable Domain,Region,Country,Source Status,Automation Status,Investigation Status Last Updated At,Created,Updated,custom_fields.NNS Potential,custom_fields.NNS_Potential
6768750,1001014#1,"LATAM, Argentina",Camara Federico,Camara Federico,,3,3,0,2018-03-07 03:38 AM ,2023-12-26 08:12 PM ,2,,,12,,,,,,,APPROVABLE,,2024-12-18 03:53 AM ,2026-03-15 08:39 PM ,,
8899841,999172#1,"LATAM, Ecuador",Copol,Copol,,6,6,0,2018-06-02 07:39 PM ,2023-11-16 04:40 PM ,2,,,14,,,,,,,APPROVABLE,,2025-06-07 08:31 PM ,2026-03-17 07:38 AM ,,
6762654,1004971#1,"LATAM, Uruguay",Williams Bradford (wi171-adnic-o),Williams Bradford (wi171-adnic-o),,6,6,0,2018-05-10 04:32 PM ,2024-08-26 05:35 AM ,2,Marcelo Herrera,,20,,,,,,,APPROVABLE,,2024-12-17 08:20 PM ,2026-03-15 08:45 PM ,,
8899925,998552#1,"LATAM, Paraguay",Impulsocreativo,Impulsocreativo,,4,4,0,2018-06-15 10:59 PM ,2023-04-19 02:42 PM ,2,,,14,,,,,,,APPROVABLE,,2025-06-07 08:32 PM ,2026-03-17 07:37 AM ,,
6769050,1004966#1,"LATAM, Argentina",S.O.S. S.A.,S.O.S. S.A.,,9,9,0,2018-04-02 03:17 PM ,2023-11-11 12:10 AM ,2,,,30,,,,,,,APPROVABLE,,2024-12-18 03:57 AM ,2026-03-15 08:45 PM ,,
5314257,997203#1,"LATAM, Ecuador",Interdesign,Interdesign,,5,5,0,2018-07-16 04:17 PM ,2023-11-01 08:28 PM ,2,,,16,,,,,,,APPROVABLE,,2024-06-27 04:52 AM ,2026-03-17 07:36 AM ,,
6769395,1006232#1,"LATAM, Argentina",Redengas,Redengas,,6,6,0,2018-04-10 10:17 PM ,2023-10-03 03:15 PM ,1,,,19,,,,,,,APPROVABLE,,2024-12-18 04:01 AM ,2026-03-15 08:48 PM ,,
4029008,996646#1,"LATAM, Colombia",Jimhidraulica,Jimhidraulica,,4,4,0,2018-02-02 01:04 AM ,2023-10-04 07:08 PM ,2,,,16,,,,,,,APPROVABLE,,2024-04-25 06:18 PM ,2026-03-17 07:36 AM ,,
4486348,1006140#1,"LATAM, Peru",SACHARQ,SACHARQ,,3,3,0,2017-08-11 10:44 PM ,2023-12-29 03:30 PM ,2,,,12,,,,,,,APPROVABLE,,2024-05-14 06:04 PM ,2026-03-15 08:48 PM ,,
4024611,996822#1,"LATAM, Chile",Monky Producciones,Monky Producciones,,6,6,0,2018-03-06 01:38 PM ,2023-06-06 05:35 PM ,1,,,23,,,,,,,APPROVABLE,,2024-04-25 05:48 PM ,2026-03-17 07:36 AM ,,
4025033,1007204#1,"LATAM, Chile",Bellezaexpresslatina,Bellezaexpresslatina,,3,3,0,2018-02-01 07:20 PM ,2023-09-21 05:12 PM ,2,,,10,,,,,,,APPROVABLE,,2024-04-25 05:53 PM ,2026-03-15 08:49 PM ,,
4489524,995794#1,"LATAM, Peru",Conaksac,Conaksac,Conaksac,3,3,0,2018-05-19 04:07 AM ,2024-07-01 01:11 AM ,2,Monaliza Alpiz,,10,,,,,,,APPROVABLE,,2024-05-14 06:51 PM ,2026-03-17 07:35 AM ,,
2735537,1008119#1,"LATAM, Uruguay",CSI Ingenieros,CSI Ingenieros,,6,6,0,2018-05-02 09:32 PM ,2024-02-26 01:05 PM ,2,Marcelo Herrera,,18,,,,,,,APPROVABLE,,2024-01-31 04:00 PM ,2026-03-15 08:51 PM ,,
6769404,995730#1,"LATAM, Argentina",Wix,Wix,,3,3,0,2018-04-21 10:33 PM ,2023-10-07 06:48 PM ,2,,,12,,,,,,,APPROVABLE,,2024-12-18 04:02 AM ,2026-03-17 07:35 AM ,,
4490396,1008792#1,"LATAM, Peru",Arkgad,Arkgad,,3,3,0,2017-05-25 06:36 PM ,2023-07-24 05:30 PM ,3,,,6,,,,,,,APPROVABLE,,2024-05-14 07:01 PM ,2026-03-15 08:53 PM ,,
4788159,995533#1,"LATAM, Ecuador",Righttek,Righttek,,4,4,0,2018-05-05 01:59 PM ,2023-05-26 11:59 PM ,2,,,12,,,,,,,APPROVABLE,,2024-05-31 04:55 PM ,2026-03-17 07:35 AM ,,
4489732,1015027#1,"LATAM, Peru",empresa de seguridad vigilancia control s.a.c.,empresa de seguridad vigilancia control s.a.c.,,3,3,0,2018-08-09 02:19 PM ,2023-11-21 01:03 PM ,2,,,8,,,,,,,APPROVABLE,,2024-05-14 06:54 PM ,2026-03-15 08:57 PM ,,
8898842,994809#1,"LATAM, Ecuador",Yopmil,Yopmil,,7,7,0,2017-11-26 09:00 PM ,2023-02-18 04:37 AM ,2,,,16,,,,,,,APPROVABLE,,2025-06-07 08:20 PM ,2026-03-17 07:34 AM ,,
4027687,1016728#2,"LATAM, Colombia",Certicamara S.A,Certicamara S.A,,3,3,0,2019-11-05 10:47 PM ,2023-11-23 09:52 AM ,1,,,5,,,,,,,APPROVABLE,,2024-04-25 06:10 PM ,2026-03-15 08:58 PM ,,
4025468,994787#1,"LATAM, Colombia",Sep,Sep,,6,6,0,2017-11-22 03:02 PM ,2023-08-27 11:23 PM ,2,,,8,,,,,,,APPROVABLE,,2024-04-25 05:58 PM ,2026-03-17 07:34 AM ,,
4027982,1024150#1,"LATAM, Colombia",Grupo Peyco Colombia,Grupo Peyco Colombia,,3,3,0,2018-08-16 03:48 PM ,2023-10-24 12:13 AM ,1,,,12,,,,,,,APPROVABLE,,2024-04-25 06:12 PM ,2026-03-15 09:00 PM ,,
4788534,994015#1,"LATAM, Ecuador",Luis Morocho,Luis Morocho,,6,6,0,2017-12-27 08:03 PM ,2023-09-14 08:23 PM ,2,,,18,,,,,,,APPROVABLE,,2024-05-31 05:09 PM ,2026-03-17 07:33 AM ,,
4044884,1025842#2,"LATAM, Colombia",ALSEA SAB DE CV,ALSEA SAB DE CV,,4,4,0,2019-12-03 04:08 PM ,2023-06-13 12:43 AM ,1,,,13,,,,,,,APPROVABLE,,2024-04-25 08:10 PM ,2026-03-15 09:01 PM ,,
4025524,991585#1,"LATAM, Colombia",Alliancebg,Alliancebg,,4,4,0,2018-07-29 04:06 PM ,2023-04-28 04:55 PM ,2,,,10,,,,,,,APPROVABLE,,2024-04-25 05:59 PM ,2026-03-17 07:32 AM ,,
