Case ID,External Case ID,Tags,Name,Organization,Entity,# Total Machines,# Recent Machines,# Approved Machines,First Event,Last Event,Case Tier,Case Investigators,Investigation Status,Data Score,Website,Industry,Actionable Domain,Region,Country,Source Status,Automation Status,Investigation Status Last Updated At,Created,Updated,custom_fields.NNS Potential,custom_fields.NNS_Potential
4058467,995596#1,"Mexico, LATAM",Ikabanconsultores,Ikabanconsultores,,2,2,0,2018-05-10 03:29 PM ,2023-10-26 04:03 AM ,2,,,8,,,,,,,APPROVABLE,,2024-04-25 09:49 PM ,2026-03-17 07:35 AM ,,
8646915,995064#1,"Mexico, LATAM",Pineda Saadi Arquitectos,Pineda Saadi Arquitectos,,2,2,0,2018-11-20 08:57 PM ,2023-02-04 02:52 PM ,2,,,8,,,,,,,APPROVABLE,,2025-06-02 08:35 AM ,2026-03-17 07:34 AM ,,
8897597,994708#1,"LATAM, Guatemala",Intuito,Intuito,,2,2,0,2017-11-22 04:23 PM ,2023-08-08 05:10 PM ,2,,,8,,,,,,,APPROVABLE,,2025-06-07 08:05 PM ,2026-03-17 07:34 AM ,,
8671592,994709#1,"Mexico, LATAM",Universidad Autónoma de Yucatán,Universidad Autónoma de Yucatán,,2,2,0,2017-11-23 07:32 PM ,2024-05-14 09:15 AM ,2,,,8,,,,,,,APPROVABLE,,2025-06-02 04:49 PM ,2026-03-17 07:34 AM ,,
4049332,994372#1,"Mexico, LATAM",BAC & asociados,BAC & asociados,,1,1,0,2017-12-13 08:30 PM ,2023-04-13 11:40 PM ,1,,,7,,,,,,,APPROVABLE,,2024-04-25 08:34 PM ,2026-03-17 07:34 AM ,,
889361,994728#1,"Mexico, LATAM",jorge alberto perez morales,jorge alberto perez morales,,1,1,0,2017-12-03 05:48 PM ,2023-05-09 09:59 AM ,2,,,4,,,,,,,APPROVABLE,,2023-07-05 04:28 PM ,2026-03-17 07:34 AM ,,
4059028,994671#1,"Mexico, LATAM",Vivo Arquitectos,Vivo Arquitectos,,2,2,0,2017-12-06 06:48 PM ,2024-08-29 11:09 PM ,2,,,8,,,,,,,APPROVABLE,,2024-04-25 09:55 PM ,2026-03-17 07:34 AM ,,
6783632,993985#1,"LATAM, Nicaragua",Mghc,Mghc,,2,2,0,2018-01-03 03:28 PM ,2024-02-27 01:06 AM ,2,,,8,,,,,,,APPROVABLE,,2024-12-19 03:32 PM ,2026-03-17 07:33 AM ,,
8898645,993833#1,"LATAM, Panama",Pty,Pty,,1,1,0,2017-07-13 03:15 PM ,2023-02-08 11:00 PM ,2,,,4,,,,,,,APPROVABLE,,2025-06-07 08:17 PM ,2026-03-17 07:33 AM ,,
8639712,992736#1,"Mexico, LATAM",Knauf Mexico - Planta Bunker,Knauf Mexico - Planta Bunker,,1,1,0,2018-07-18 10:49 PM ,2023-03-13 06:39 PM ,2,,,4,,,,,,,APPROVABLE,,2025-06-02 07:09 AM ,2026-03-17 07:33 AM ,,
